time_hrs,T_engine_F,T_cw_F,delta_F
0.0833,73.0000,73.0040,-0.00400
0.1667,73.0000,73.0040,-0.00400
0.2500,73.0000,73.0040,-0.00400
0.3333,73.0000,73.0040,-0.00400
0.4167,73.0000,73.0040,-0.00400
0.5000,73.0000,73.0040,-0.00400
0.5833,73.0000,73.0040,-0.00400
0.6667,73.0000,73.0040,-0.00400
0.7500,73.0000,73.0040,-0.00400
0.8333,73.0000,73.0040,-0.00400
0.9167,73.0000,73.0040,-0.00400
1.0000,73.0000,73.0040,-0.00399
1.0833,73.0000,73.0040,-0.00398
1.1667,73.0000,73.0040,-0.00396
1.2500,73.0001,73.0040,-0.00391
1.3333,73.0002,73.0040,-0.00383
1.4167,73.0003,73.0040,-0.00369
1.5000,73.0005,73.0040,-0.00347
1.5833,73.0009,73.0040,-0.00314
1.6667,73.0013,73.0040,-0.00266
1.7500,73.0020,73.0040,-0.00200
1.8333,73.0029,73.0040,-0.00110
1.9167,73.0041,73.0040,0.00008
2.0000,73.0056,73.0040,0.00161
2.0833,73.0075,73.0040,0.00353
2.1667,73.0099,73.0040,0.00592
2.2500,73.0128,73.0040,0.00884
2.3333,73.0163,73.0220,-0.00566
2.4167,73.0205,73.0220,-0.00149
2.5000,73.0254,73.0220,0.00339
2.5833,73.0311,73.0220,0.00906
2.6667,73.0376,73.0400,-0.00241
2.7500,73.0450,73.0400,0.00501
2.8333,73.0534,73.0580,-0.00459
2.9167,73.0628,73.0580,0.00485
3.0000,73.0734,73.0760,-0.00264
3.0833,73.0850,73.0760,0.00900
3.1667,73.0978,73.0940,0.00384
3.2500,73.1119,73.1120,-0.00011
3.3333,73.1272,73.1300,-0.00279
3.4167,73.1439,73.1300,0.01385
3.5000,73.1618,73.1480,0.01382
3.5833,73.1812,73.1660,0.01517
3.6667,73.2020,73.2020,-0.00005
3.7500,73.2241,73.2200,0.00414
3.8333,73.2478,73.2380,0.00978
3.9167,73.2729,73.2560,0.01693
4.0000,73.2995,73.2920,0.00755
4.0833,73.3277,73.3100,0.01767
4.1667,73.3574,73.3460,0.01135
4.2500,73.3885,73.3820,0.00653
4.3333,73.4212,73.4180,0.00324
4.4167,73.4555,73.4540,0.00155
4.5000,73.4914,73.4900,0.00136
4.5833,73.5287,73.5260,0.00272
4.6667,73.5677,73.5620,0.00568
4.7500,73.6081,73.5980,0.01014
4.8333,73.6501,73.6340,0.01615
4.9167,73.6937,73.6880,0.00575
5.0000,73.7388,73.7240,0.01483
5.0833,73.7854,73.7780,0.00744
5.1667,73.8336,73.8140,0.01963
5.2500,73.8833,73.8680,0.01526
5.3333,73.9344,73.9220,0.01240
5.4167,73.9871,73.9760,0.01109
5.5000,74.0412,74.0300,0.01118
5.5833,74.0967,74.0840,0.01274
5.6667,74.1538,74.1380,0.01581
5.7500,74.2122,74.1920,0.02025
5.8333,74.2721,74.2640,0.00810
5.9167,74.3334,74.3180,0.01543
6.0000,74.3961,74.3900,0.00608
6.0833,74.4601,74.4440,0.01609
6.1667,74.5255,74.5160,0.00954
6.2500,74.5922,74.5880,0.00424
6.3333,74.6603,74.6420,0.01827
6.4167,74.7297,74.7140,0.01567
6.5000,74.8003,74.7860,0.01428
6.5833,74.8722,74.8580,0.01416
6.6667,74.9454,74.9300,0.01537
6.7500,75.0197,75.0020,0.01773
6.8333,75.0953,75.0920,0.00330
6.9167,75.1722,75.1640,0.00815
7.0000,75.2501,75.2360,0.01409
7.0833,75.3292,75.3260,0.00319
7.1667,75.4095,75.3980,0.01152
7.2500,75.4909,75.4880,0.00288
7.3333,75.5733,75.5600,0.01335
7.4167,75.6570,75.6500,0.00700
7.5000,75.7416,75.7400,0.00162
7.5833,75.8273,75.8120,0.01529
7.6667,75.9141,75.9020,0.01209
7.7500,76.0018,75.9920,0.00981
7.8333,76.0905,76.0820,0.00853
7.9167,76.1803,76.1720,0.00833
8.0000,76.2710,76.2620,0.00899
8.0833,76.3626,76.3520,0.01060
8.1667,76.4552,76.4420,0.01325
8.2500,76.5487,76.5500,-0.00130
8.3333,76.6430,76.6400,0.00305
8.4167,76.7384,76.7300,0.00839
8.5000,76.8345,76.8380,-0.00352
8.5833,76.9314,76.9280,0.00342
8.6667,77.0293,77.0180,0.01131
8.7500,77.1279,77.1260,0.00190
8.8333,77.2273,77.2160,0.01129
8.9167,77.3276,77.3240,0.00359
9.0000,77.4285,77.4320,-0.00346
9.0833,77.5302,77.5220,0.00824
9.1667,77.6328,77.6300,0.00281
9.2500,77.7360,77.7380,-0.00202
9.3333,77.8399,77.8460,-0.00614
9.4167,77.9446,77.9540,-0.00943
9.5000,78.0498,78.0440,0.00584
9.5833,78.1558,78.1520,0.00377
9.6667,78.2625,78.2600,0.00249
9.7500,78.3697,78.3680,0.00173
9.8333,78.4776,78.4760,0.00160
9.9167,78.5862,78.5840,0.00221
10.0000,78.6953,78.7100,-0.01470
10.0833,78.8050,78.8180,-0.01303
10.1667,78.9154,78.9260,-0.01064
10.2500,79.0262,79.0340,-0.00781
10.3333,79.1376,79.1420,-0.00444
10.4167,79.2496,79.2500,-0.00038
10.5000,79.3621,79.3760,-0.01394
10.5833,79.4750,79.4840,-0.00897
10.6667,79.5886,79.5920,-0.00336
10.7500,79.7026,79.7180,-0.01539
10.8333,79.8171,79.8260,-0.00894
10.9167,79.9321,79.9520,-0.01987
11.0000,80.0475,80.0600,-0.01248
11.0833,80.1634,80.1860,-0.02264
11.1667,80.2798,80.2940,-0.01422
11.2500,80.3965,80.4200,-0.02351
11.3333,80.5136,80.5280,-0.01438
11.4167,80.6313,80.6540,-0.02270
11.5000,80.7492,80.7620,-0.01276
11.5833,80.8676,80.8880,-0.02043
11.6667,80.9864,81.0140,-0.02758
11.7500,81.1055,81.1220,-0.01650
11.8333,81.2249,81.2480,-0.02305
11.9167,81.3449,81.3740,-0.02912
12.0000,81.4650,81.4820,-0.01698
12.0833,81.5855,81.6080,-0.02251
12.1667,81.7064,81.7340,-0.02757
12.2500,81.8275,81.8600,-0.03246
12.3333,81.9490,81.9680,-0.01904
12.4167,82.0708,82.0940,-0.02318
12.5000,82.1928,82.2200,-0.02717
12.5833,82.3151,82.3460,-0.03088
12.6667,82.4378,82.4720,-0.03417
12.7500,82.5607,82.5980,-0.03734
12.8333,82.6837,82.7240,-0.04026
12.9167,82.8072,82.8500,-0.04277
13.0000,82.9308,82.9580,-0.02719
13.0833,83.0546,83.0840,-0.02938
13.1667,83.1788,83.2100,-0.03119
13.2500,83.3031,83.3360,-0.03293
13.3333,83.4275,83.4620,-0.03446
13.4167,83.5524,83.5880,-0.03563
13.5000,83.6772,83.7140,-0.03676
13.5833,83.8023,83.8400,-0.03769
13.6667,83.9277,83.9660,-0.03829
13.7500,84.0531,84.0920,-0.03886
13.8333,84.1787,84.2180,-0.03926
13.9167,84.3047,84.3440,-0.03935
14.0000,84.4306,84.4700,-0.03943
14.0833,84.5566,84.6140,-0.05735
14.1667,84.6830,84.7400,-0.05698
14.2500,84.8094,84.8660,-0.05663
14.3333,84.9359,84.9920,-0.05614
14.4167,85.0626,85.1180,-0.05537
14.5000,85.1894,85.2440,-0.05464
14.5833,85.3162,85.3700,-0.05379
14.6667,85.4433,85.4960,-0.05267
14.7500,85.5704,85.6220,-0.05161
14.8333,85.6975,85.7480,-0.05045
14.9167,85.8250,85.8920,-0.06705
15.0000,85.9523,86.0180,-0.06571
15.0833,86.0797,86.1440,-0.06429
15.1667,86.2074,86.2700,-0.06264
15.2500,86.3349,86.3960,-0.06107
15.3333,86.4626,86.5220,-0.05944
15.4167,86.5904,86.6480,-0.05759
15.5000,86.7182,86.7920,-0.07385
15.5833,86.8460,86.9180,-0.07205
15.6667,86.9739,87.0440,-0.07005
15.7500,87.1018,87.1700,-0.06817
15.8333,87.2298,87.2960,-0.06625
15.9167,87.3579,87.4400,-0.08214
16.0000,87.4858,87.5660,-0.08017
16.0833,87.6138,87.6920,-0.07817
16.1667,87.7420,87.8180,-0.07600
16.2500,87.8700,87.9440,-0.07396
16.3333,87.9981,88.0700,-0.07193
16.4167,88.1263,88.2140,-0.08773
16.5000,88.2543,88.3400,-0.08568
16.5833,88.3824,88.4660,-0.08364
16.6667,88.5105,88.5920,-0.08146
16.7500,88.6386,88.7180,-0.07944
16.8333,88.7666,88.8440,-0.07744
16.9167,88.8947,88.9880,-0.09330
17.0000,89.0227,89.1140,-0.09134
17.0833,89.1506,89.2400,-0.08941
17.1667,89.2786,89.3660,-0.08735
17.2500,89.4065,89.4920,-0.08549
17.3333,89.5343,89.6360,-0.10166
17.4167,89.6623,89.7620,-0.09972
17.5000,89.7900,89.8880,-0.09799
17.5833,89.9177,90.0140,-0.09630
17.6667,90.0455,90.1400,-0.09451
17.7500,90.1731,90.2660,-0.09293
17.8333,90.3006,90.4100,-0.10941
17.9167,90.4282,90.5360,-0.10781
18.0000,90.5556,90.6620,-0.10642
18.0833,90.6829,90.7880,-0.10510
18.1667,90.8103,90.9140,-0.10370
18.2500,90.9375,91.0400,-0.10253
18.3333,91.0646,91.1660,-0.10144
18.4167,91.1917,91.3100,-0.11828
18.5000,91.3186,91.4360,-0.11735
18.5833,91.4455,91.5620,-0.11651
18.6667,91.5724,91.6880,-0.11562
18.7500,91.6990,91.8140,-0.11497
18.8333,91.8256,91.9400,-0.11441
18.9167,91.9522,92.0660,-0.11380
19.0000,92.0785,92.1920,-0.11345
19.0833,92.2048,92.3180,-0.11320
19.1667,92.3311,92.4440,-0.11291
19.2500,92.4571,92.5700,-0.11288
19.3333,92.5830,92.7140,-0.13096
19.4167,92.7090,92.8400,-0.13101
19.5000,92.8347,92.9660,-0.13132
19.5833,92.9602,93.0920,-0.13176
19.6667,93.0858,93.2180,-0.13216
19.7500,93.2112,93.3440,-0.13284
19.8333,93.3363,93.4700,-0.13365
19.9167,93.4616,93.5960,-0.13444
20.0000,93.5865,93.7220,-0.13551
20.0833,93.7113,93.8480,-0.13672
20.1667,93.8361,93.9740,-0.13791
20.2500,93.9606,94.1000,-0.13939
20.3333,94.0850,94.2260,-0.14101
20.4167,94.2094,94.3520,-0.14263
20.5000,94.3335,94.4780,-0.14454
20.5833,94.4574,94.6040,-0.14659
20.6667,94.5814,94.7300,-0.14865
20.7500,94.7050,94.8560,-0.15100
20.8333,94.8285,94.9820,-0.15351
20.9167,94.9520,95.0900,-0.13802
21.0000,95.0752,95.2160,-0.14084
21.0833,95.1982,95.3420,-0.14382
21.1667,95.3212,95.4680,-0.14681
21.2500,95.4439,95.5940,-0.15011
21.3333,95.5664,95.7200,-0.15358
21.4167,95.6889,95.8460,-0.15706
21.5000,95.8111,95.9720,-0.16086
21.5833,95.9332,96.0980,-0.16482
21.6667,96.0552,96.2060,-0.15081
21.7500,96.1769,96.3320,-0.15512
21.8333,96.2984,96.4580,-0.15960
21.9167,96.4199,96.5840,-0.16412
22.0000,96.5410,96.7100,-0.16895
22.0833,96.6620,96.8180,-0.15597
22.1667,96.7830,96.9440,-0.16101
22.2500,96.9036,97.0700,-0.16639
22.3333,97.0241,97.1960,-0.17195
22.4167,97.1445,97.3040,-0.15954
22.5000,97.2645,97.4300,-0.16547
22.5833,97.3844,97.5560,-0.17158
22.6667,97.5043,97.6820,-0.17774
22.7500,97.6238,97.7900,-0.16624
22.8333,97.7431,97.9160,-0.17292
22.9167,97.8623,98.0420,-0.17965
23.0000,97.9813,98.1500,-0.16872
23.0833,98.1000,98.2760,-0.17598
23.1667,98.2187,98.4020,-0.18330
23.2500,98.3370,98.5100,-0.17295
23.3333,98.4552,98.6360,-0.18081
23.4167,98.5733,98.7620,-0.18872
23.5000,98.6910,98.8700,-0.17897
23.5833,98.8086,98.9960,-0.18743
23.6667,98.9261,99.1040,-0.17795
23.7500,99.0432,99.2300,-0.18681
23.8333,99.1601,99.3560,-0.19587
23.9167,99.2770,99.4640,-0.18700
24.0000,99.3935,99.5900,-0.19648
24.0833,99.5098,99.6980,-0.18817
24.1667,99.6261,99.8240,-0.19792
24.2500,99.7420,99.9320,-0.19002
24.3333,99.8577,100.0580,-0.20033
24.4167,99.9733,100.1660,-0.19272
24.5000,100.0885,100.2920,-0.20346
24.5833,100.2036,100.4000,-0.19640
24.6667,100.3186,100.5080,-0.18943
24.7500,100.4332,100.6340,-0.20081
24.8333,100.5476,100.7420,-0.19440
24.9167,100.6619,100.8680,-0.20607
25.0000,100.7759,100.9760,-0.20009
25.0833,100.8897,101.1020,-0.21233
25.1667,101.0033,101.2100,-0.20666
25.2500,101.1167,101.3180,-0.20134
25.3333,101.2298,101.4440,-0.21424
25.4167,101.3428,101.5520,-0.20922
25.5000,101.4554,101.6600,-0.20456
25.5833,101.5679,101.7860,-0.21812
25.6667,101.6802,101.8940,-0.21377
25.7500,101.7922,102.0020,-0.20977
25.8333,101.9040,102.1100,-0.20600
25.9167,102.0157,102.2360,-0.22032
26.0000,102.1270,102.3440,-0.21700
26.0833,102.2381,102.4520,-0.21390
26.1667,102.3491,102.5600,-0.21089
26.2500,102.4598,102.6860,-0.22625
26.3333,102.5702,102.7940,-0.22383
26.4167,102.6805,102.9020,-0.22150
26.5000,102.7905,103.0100,-0.21953
26.5833,102.9002,103.1180,-0.21780
26.6667,103.0098,103.2260,-0.21615
26.7500,103.1191,103.3340,-0.21487
26.8333,103.2282,103.4600,-0.23182
26.9167,103.3371,103.5680,-0.23087
27.0000,103.4457,103.6760,-0.23027
27.0833,103.5541,103.7840,-0.22991
27.1667,103.6624,103.8920,-0.22965
27.2500,103.7703,104.0000,-0.22975
27.3333,103.8779,104.1080,-0.23008
27.4167,103.9855,104.2160,-0.23051
27.5000,104.0927,104.3240,-0.23130
27.5833,104.1997,104.4320,-0.23233
27.6667,104.3065,104.5400,-0.23345
27.7500,104.4131,104.6480,-0.23494
27.8333,104.5193,104.7560,-0.23667
27.9167,104.6255,104.8640,-0.23849
28.0000,104.7313,104.9720,-0.24068
28.0833,104.8369,105.0800,-0.24311
28.1667,104.9424,105.1880,-0.24564
28.2500,105.0475,105.2960,-0.24853
28.3333,105.1523,105.3860,-0.23365
28.4167,105.2571,105.4940,-0.23688
28.5000,105.3615,105.6020,-0.24048
28.5833,105.4657,105.7100,-0.24430
28.6667,105.5698,105.8180,-0.24824
28.7500,105.6735,105.9260,-0.25254
28.8333,105.7769,106.0160,-0.23907
28.9167,105.8803,106.1240,-0.24371
29.0000,105.9833,106.2320,-0.24872
29.0833,106.0860,106.3400,-0.25395
29.1667,106.1887,106.4300,-0.24130
29.2500,106.2910,106.5380,-0.24701
29.3333,106.3930,106.6460,-0.25296
29.4167,106.4950,106.7540,-0.25901
29.5000,106.5966,106.8440,-0.24743
29.5833,106.6979,106.9520,-0.25408
29.6667,106.7992,107.0600,-0.26084
29.7500,106.9000,107.1500,-0.24997
29.8333,107.0007,107.2580,-0.25732
29.9167,107.1012,107.3480,-0.24680
30.0000,107.2014,107.4560,-0.25463
30.0833,107.3013,107.5640,-0.26269
30.1667,107.4011,107.6540,-0.25287
30.2500,107.5006,107.7620,-0.26141
30.3333,107.5998,107.8520,-0.25218
30.4167,107.6989,107.9600,-0.26106
30.5000,107.7977,108.0500,-0.25231
30.5833,107.8962,108.1580,-0.26178
30.6667,107.9946,108.2480,-0.25338
30.7500,108.0927,108.3560,-0.26332
30.8333,108.1905,108.4460,-0.25551
30.9167,108.2882,108.5540,-0.26581
31.0000,108.3855,108.6440,-0.25846
31.0833,108.4827,108.7520,-0.26934
31.1667,108.5796,108.8420,-0.26235
31.2500,108.6763,108.9500,-0.27371
31.3333,108.7727,109.0400,-0.26730
31.4167,108.8690,109.1300,-0.26100
31.5000,108.9649,109.2380,-0.27306
31.5833,109.0606,109.3280,-0.26736
31.6667,109.1562,109.4180,-0.26177
31.7500,109.2515,109.5260,-0.27453
31.8333,109.3465,109.6160,-0.26952
31.9167,109.4414,109.7060,-0.26463
32.0000,109.5359,109.8140,-0.27809
32.0833,109.6302,109.9040,-0.27378
32.1667,109.7244,109.9940,-0.26959
32.2500,109.8182,110.0840,-0.26575
32.3333,109.9119,110.1920,-0.28014
32.4167,110.0054,110.2820,-0.27665
32.5000,110.0985,110.3720,-0.27350
32.5833,110.1914,110.4620,-0.27058
32.6667,110.2842,110.5520,-0.26779
32.7500,110.3767,110.6600,-0.28334
32.8333,110.4689,110.7500,-0.28111
32.9167,110.5610,110.8400,-0.27901
33.0000,110.6528,110.9300,-0.27725
33.0833,110.7443,111.0200,-0.27572
33.1667,110.8357,111.1100,-0.27430
33.2500,110.9268,111.2000,-0.27323
33.3333,111.0176,111.2900,-0.27239
33.4167,111.1083,111.3800,-0.27166
33.5000,111.1987,111.4700,-0.27128
33.5833,111.2889,111.5780,-0.28912
33.6667,111.3789,111.6680,-0.28908
33.7500,111.4686,111.7580,-0.28938
33.8333,111.5581,111.8480,-0.28991
33.9167,111.6474,111.9380,-0.29055
34.0000,111.7365,112.0280,-0.29153
34.0833,111.8253,112.1000,-0.27474
34.1667,111.9139,112.1900,-0.27607
34.2500,112.0023,112.2800,-0.27772
34.3333,112.0904,112.3700,-0.27961
34.4167,112.1784,112.4600,-0.28161
34.5000,112.2661,112.5500,-0.28395
34.5833,112.3535,112.6400,-0.28650
34.6667,112.4408,112.7300,-0.28918
34.7500,112.5278,112.8200,-0.29219
34.8333,112.6146,112.9100,-0.29542
34.9167,112.7012,112.9820,-0.28077
35.0000,112.7876,113.0720,-0.28444
35.0833,112.8737,113.1620,-0.28834
35.1667,112.9596,113.2520,-0.29236
35.2500,113.0453,113.3420,-0.29670
35.3333,113.1307,113.4140,-0.28327
35.4167,113.2161,113.5040,-0.28795
35.5000,113.3010,113.5940,-0.29295
35.5833,113.3858,113.6840,-0.29818
35.6667,113.4705,113.7560,-0.28552
35.7500,113.5548,113.8460,-0.29119
35.8333,113.6389,113.9360,-0.29707
35.9167,113.7229,114.0080,-0.28507
36.0000,113.8066,114.0980,-0.29139
36.0833,113.8901,114.1880,-0.29793
36.1667,113.9734,114.2600,-0.28659
36.2500,114.0564,114.3500,-0.29356
36.3333,114.1393,114.4400,-0.30075
36.4167,114.2219,114.5120,-0.29005
36.5000,114.3043,114.6020,-0.29768
36.5833,114.3865,114.6740,-0.28751
36.6667,114.4685,114.7640,-0.29547
36.7500,114.5503,114.8360,-0.28573
36.8333,114.6318,114.9260,-0.29421
36.9167,114.7132,114.9980,-0.28481
37.0000,114.7943,115.0880,-0.29372
37.0833,114.8752,115.1600,-0.28484
37.1667,114.9559,115.2500,-0.29408
37.2500,115.0364,115.3220,-0.28562
37.3333,115.1166,115.4120,-0.29538
37.4167,115.1968,115.4840,-0.28725
37.5000,115.2766,115.5740,-0.29743
37.5833,115.3562,115.6460,-0.28982
37.6667,115.4357,115.7360,-0.30032
37.7500,115.5149,115.8080,-0.29313
37.8333,115.5939,115.8980,-0.30415
37.9167,115.6727,115.9700,-0.29728
38.0000,115.7513,116.0420,-0.29071
38.0833,115.8296,116.1320,-0.30235
38.1667,115.9079,116.2040,-0.29611
38.2500,115.9858,116.2760,-0.29016
38.3333,116.0636,116.3660,-0.30243
38.4167,116.1412,116.4380,-0.29680
38.5000,116.2185,116.5100,-0.29147
38.5833,116.2956,116.6000,-0.30435
38.6667,116.3727,116.6720,-0.29934
38.7500,116.4494,116.7440,-0.29463
38.8333,116.5259,116.8160,-0.29012
38.9167,116.6023,116.9060,-0.30372
39.0000,116.6784,116.9780,-0.29962
39.0833,116.7543,117.0500,-0.29571
39.1667,116.8301,117.1220,-0.29192
39.2500,116.9056,117.1940,-0.28842
39.3333,116.9809,117.2840,-0.30312
39.4167,117.0561,117.3560,-0.29994
39.5000,117.1310,117.4280,-0.29704
39.5833,117.2057,117.5000,-0.29434
39.6667,117.2803,117.5720,-0.29175
39.7500,117.3546,117.6440,-0.28945
39.8333,117.4287,117.7340,-0.30534
39.9167,117.5027,117.8060,-0.30335
40.0000,117.5764,117.8780,-0.30164
40.0833,117.6499,117.9500,-0.30013
40.1667,117.7233,118.0220,-0.29872
40.2500,117.7964,118.0940,-0.29760
40.3333,117.8693,118.1660,-0.29667
40.4167,117.9421,118.2380,-0.29586
40.5000,118.0147,118.3100,-0.29532
40.5833,118.0870,118.3820,-0.29498
40.6667,118.1593,118.4540,-0.29474
40.7500,118.2312,118.5260,-0.29478
40.8333,118.3030,118.5980,-0.29501
40.9167,118.3746,118.6700,-0.29536
41.0000,118.4460,118.7420,-0.29597
41.0833,118.5172,118.8140,-0.29678
41.1667,118.5883,118.8860,-0.29769
41.2500,118.6591,118.9580,-0.29888
41.3333,118.7297,119.0300,-0.30026
41.4167,118.8003,119.1020,-0.30174
41.5000,118.8705,119.1740,-0.30350
41.5833,118.9406,119.2460,-0.30544
41.6667,119.0105,119.3000,-0.28949
41.7500,119.0802,119.3720,-0.29180
41.8333,119.1497,119.4440,-0.29431
41.9167,119.2191,119.5160,-0.29691
42.0000,119.2882,119.5880,-0.29979
42.0833,119.3572,119.6600,-0.30285
42.1667,119.4260,119.7140,-0.28801
42.2500,119.4946,119.7860,-0.29144
42.3333,119.5630,119.8580,-0.29505
42.4167,119.6312,119.9300,-0.29876
42.5000,119.6993,120.0020,-0.30274
42.5833,119.7671,120.0560,-0.28890
42.6667,119.8348,120.1280,-0.29316
42.7500,119.9023,120.2000,-0.29768
42.8333,119.9696,120.2720,-0.30239
42.9167,120.0368,120.3260,-0.28919
43.0000,120.1037,120.3980,-0.29425
43.0833,120.1705,120.4700,-0.29949
43.1667,120.2372,120.5240,-0.28683
43.2500,120.3036,120.5960,-0.29243
43.3333,120.3698,120.6680,-0.29821
43.4167,120.4359,120.7220,-0.28608
43.5000,120.5018,120.7940,-0.29221
43.5833,120.5675,120.8660,-0.29852
43.6667,120.6331,120.9200,-0.28692
43.7500,120.6984,120.9920,-0.29358
43.8333,120.7636,121.0640,-0.30041
43.9167,120.8287,121.1180,-0.28934
44.0000,120.8935,121.1900,-0.29652
44.0833,120.9581,121.2440,-0.28588
44.1667,121.0227,121.3160,-0.29333
44.2500,121.0870,121.3880,-0.30103
44.3333,121.1511,121.4420,-0.29090
44.4167,121.2151,121.5140,-0.29887
44.5000,121.2789,121.5680,-0.28908
44.5833,121.3425,121.6400,-0.29746
44.6667,121.4061,121.6940,-0.28794
44.7500,121.4693,121.7660,-0.29667
44.8333,121.5324,121.8200,-0.28756
44.9167,121.5955,121.8920,-0.29655
45.0000,121.6582,121.9460,-0.28778
45.0833,121.7208,122.0180,-0.29717
45.1667,121.7833,122.0720,-0.28866
45.2500,121.8456,122.1440,-0.29840
45.3333,121.9077,122.1980,-0.29029
45.4167,121.9697,122.2520,-0.28228
45.5000,122.0315,122.3240,-0.29251
45.5833,122.0931,122.3780,-0.28490
45.6667,122.1546,122.4500,-0.29539
45.7500,122.2159,122.5040,-0.28811
45.8333,122.2770,122.5580,-0.28099
45.9167,122.3380,122.6300,-0.29197
46.0000,122.3988,122.6840,-0.28518
46.0833,122.4594,122.7380,-0.27855
46.1667,122.5200,122.8100,-0.29001
46.2500,122.5803,122.8640,-0.28371
46.3333,122.6404,122.9180,-0.27756
46.4167,122.7005,122.9900,-0.28951
46.5000,122.7603,123.0440,-0.28368
46.5833,122.8200,123.0980,-0.27802
46.6667,122.8796,123.1700,-0.29044
46.7500,122.9389,123.2240,-0.28509
46.8333,122.9981,123.2780,-0.27990
46.9167,123.0572,123.3500,-0.29279
47.0000,123.1161,123.4040,-0.28792
47.0833,123.1748,123.4580,-0.28320
47.1667,123.2334,123.5120,-0.27856
