mix,T0_F,cement_type,cem_pct,fa_f_pct,fa_c_pct,slag_pct,sf_pct,Hu_raw_J_kg,Hu_factor,Hu_eff_J_kg,peak_engine_F,peak_cw_F,peak_delta_F,rms_F,max_abs_F,pass_pm1F,envelope_note
MIX-01,73,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,0.9514,403531,149.38,149.25,+0.13,0.20,0.42,Y,
MIX-02,73,Type V,60.9,21.7,0.0,17.4,0.0,395950,0.9571,378953,140.04,139.86,+0.18,0.11,0.19,Y,
MIX-03,73,Type I,78.3,21.7,0.0,0.0,0.0,422498,0.9787,413486,152.80,152.02,+0.78,0.57,0.79,Y,
MIX-04,73,Type I,78.3,21.7,0.0,0.0,0.0,422498,0.9787,413486,152.80,152.02,+0.78,0.57,0.79,Y,
MIX-05,73,Type I/II,47.8,21.7,0.0,30.4,0.0,433876,0.9372,406630,149.33,149.05,+0.27,0.18,0.31,Y,
MIX-06,73,Type I/II,28.7,21.7,0.0,49.6,0.0,448152,0.9164,410676,148.49,148.01,+0.48,0.23,0.49,Y,
MIX-07,73,Type I/II,8.7,21.7,0.0,69.6,0.0,463076,0.8946,414269,148.70,147.96,+0.75,0.38,0.76,Y,
MIX-08,73,Type I/II,82.6,0.0,0.0,17.4,0.0,488356,0.9708,474079,161.35,161.08,+0.27,0.28,0.61,Y,
MIX-09,73,Type I/II,58.3,0.0,4.2,16.7,20.8,482839,0.9049,436908,157.92,157.84,+0.08,0.35,0.70,Y,SF=20.8% OUT-OF-ENVELOPE
MIX-10,73,Type I/II,47.8,34.8,0.0,17.4,0.0,385616,0.9398,362396,142.11,142.12,-0.02,0.21,0.38,Y,
MIX-11,73,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,0.9514,403531,148.92,148.53,+0.39,0.23,0.40,Y,
MIX-12,73,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,0.9514,403531,149.37,149.29,+0.08,0.22,0.46,Y,
MIX-13,73,Type I/II,58.7,22.9,0.0,18.3,0.0,399341,0.9493,379092,140.91,144.75,-3.84,3.46,3.90,N,
MIX-14,75,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,0.9514,403531,151.57,151.39,+0.17,0.21,0.44,Y,
MIX-15,45,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,0.9514,403531,117.05,117.05,+0.00,0.07,0.18,Y,
