mix,T0_F,cement_type,cem_pct,fa_f_pct,fa_c_pct,slag_pct,sf_pct,Hu_raw_J_kg,Hu_factor,Hu_eff_J_kg,peak_engine_F,peak_cw_F,peak_delta_F,rms_F,max_abs_F,pass_pm1F,envelope_note
MIX-01,73,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,1.0000,424143,153.57,149.25,+4.32,3.60,4.33,N,raw-Hu mode
MIX-02,73,Type V,60.9,21.7,0.0,17.4,0.0,395950,1.0000,395950,143.35,139.86,+3.49,2.79,3.50,N,raw-Hu mode
MIX-03,73,Type I,78.3,21.7,0.0,0.0,0.0,422498,1.0000,422498,154.58,152.02,+2.56,2.17,2.57,N,raw-Hu mode
MIX-04,73,Type I,78.3,21.7,0.0,0.0,0.0,422498,1.0000,422498,154.58,152.02,+2.56,2.17,2.57,N,raw-Hu mode
MIX-05,73,Type I/II,47.8,21.7,0.0,30.4,0.0,433876,1.0000,433876,155.07,149.05,+6.01,4.87,6.03,N,raw-Hu mode
MIX-06,73,Type I/II,28.7,21.7,0.0,49.6,0.0,448152,1.0000,448152,156.83,148.01,+8.82,6.83,8.82,N,raw-Hu mode
MIX-07,73,Type I/II,8.7,21.7,0.0,69.6,0.0,463076,1.0000,463076,160.41,147.96,+12.45,9.32,12.46,N,raw-Hu mode
MIX-08,73,Type I/II,82.6,0.0,0.0,17.4,0.0,488356,1.0000,488356,164.14,161.08,+3.06,2.57,3.08,N,raw-Hu mode
MIX-09,73,Type I/II,58.3,0.0,4.2,16.7,20.8,482839,1.0000,482839,167.61,157.84,+9.77,8.33,9.78,N,raw-Hu mode
MIX-10,73,Type I/II,47.8,34.8,0.0,17.4,0.0,385616,1.0000,385616,146.94,142.12,+4.81,3.96,4.83,N,raw-Hu mode
MIX-11,73,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,1.0000,424143,153.09,148.53,+4.55,3.81,4.57,N,raw-Hu mode
MIX-12,73,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,1.0000,424143,153.56,149.29,+4.27,3.56,4.29,N,raw-Hu mode
MIX-13,73,Type I/II,58.7,22.9,0.0,18.3,0.0,399341,1.0000,399341,144.82,144.75,+0.07,0.18,0.36,Y,raw-Hu mode
MIX-14,75,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,1.0000,424143,155.76,151.39,+4.36,3.64,4.38,N,raw-Hu mode
MIX-15,45,Type I/II,60.9,21.7,0.0,17.4,0.0,424143,1.0000,424143,121.29,117.05,+4.24,3.39,4.26,N,raw-Hu mode
