time_hrs,c_top,c_mid,c_bot,mid_quarter,mid_corner
0.0833,72.8600,73.0040,73.0040,73.0040,73.1660
0.1667,72.7340,73.0040,73.0040,73.0040,73.3100
0.2500,72.5900,73.0040,73.0040,73.0040,73.4540
0.3333,72.4640,73.0040,73.0040,73.0040,73.5800
0.4167,72.3200,73.0040,73.0040,73.0040,73.7060
0.5000,72.1940,73.0040,73.0040,73.0040,73.8320
0.5833,72.0680,73.0040,73.0040,73.0040,73.9760
0.6667,71.9240,73.0040,73.0040,73.0040,74.0840
0.7500,71.7980,73.0040,73.0040,73.0040,74.2100
0.8333,71.6720,73.0040,73.0040,73.0040,74.3360
0.9167,71.5640,73.0040,73.0040,73.0040,74.4620
1.0000,71.4380,73.0040,73.0040,73.0040,74.5700
1.0833,71.3120,73.0220,73.0220,73.0220,74.6960
1.1667,71.2040,73.0220,73.0220,73.0220,74.8040
1.2500,71.0960,73.0220,73.0220,73.0220,74.9120
1.3333,70.9700,73.0400,73.0400,73.0400,75.0380
1.4167,70.8800,73.0400,73.0400,73.0400,75.1460
1.5000,70.7720,73.0580,73.0580,73.0580,75.2540
1.5833,70.6640,73.0760,73.0760,73.0760,75.3620
1.6667,70.5740,73.0760,73.0760,73.0760,75.4880
1.7500,70.4840,73.0940,73.0940,73.0940,75.5960
1.8333,70.3940,73.1120,73.1120,73.1120,75.7040
1.9167,70.3040,73.1300,73.1300,73.1300,75.8120
2.0000,70.2140,73.1660,73.1480,73.1660,75.9380
2.0833,70.1420,73.1840,73.1840,73.1840,76.0460
2.1667,70.0700,73.2020,73.2020,73.2020,76.1540
2.2500,69.9800,73.2380,73.2200,73.2380,76.2620
2.3333,69.9260,73.2560,73.2560,73.2560,76.3700
2.4167,69.8540,73.2920,73.2920,73.2920,76.4960
2.5000,69.8000,73.3280,73.3100,73.3280,76.6040
2.5833,69.7280,73.3640,73.3460,73.3640,76.7120
2.6667,69.6740,73.4000,73.3820,73.4000,76.8200
2.7500,69.6200,73.4360,73.4180,73.4360,76.9460
2.8333,69.5840,73.4720,73.4540,73.4720,77.0540
2.9167,69.5300,73.5080,73.4900,73.5080,77.1620
3.0000,69.4940,73.5440,73.5260,73.5440,77.2880
3.0833,69.4580,73.5980,73.5620,73.5980,77.3960
3.1667,69.4220,73.6340,73.6160,73.6340,77.5040
3.2500,69.3860,73.6700,73.6520,73.6700,77.6300
3.3333,69.3680,73.7240,73.6880,73.7240,77.7380
3.4167,69.3320,73.7780,73.7420,73.7780,77.8460
3.5000,69.3140,73.8140,73.7960,73.8140,77.9720
3.5833,69.2960,73.8680,73.8320,73.8680,78.0800
3.6667,69.2960,73.9220,73.8860,73.9220,78.1880
3.7500,69.2780,73.9760,73.9400,73.9760,78.2960
3.8333,69.2780,74.0300,73.9760,74.0300,78.4220
3.9167,69.2780,74.0840,74.0300,74.0840,78.5300
4.0000,69.2780,74.1380,74.0840,74.1380,78.6380
4.0833,69.2780,74.1920,74.1380,74.1920,78.7460
4.1667,69.2960,74.2640,74.1920,74.2640,78.8720
4.2500,69.3140,74.3180,74.2460,74.3180,78.9800
4.3333,69.3320,74.3720,74.3000,74.3720,79.0880
4.4167,69.3500,74.4440,74.3540,74.4440,79.1960
4.5000,69.3680,74.4980,74.4080,74.4980,79.3040
4.5833,69.3860,74.5700,74.4800,74.5700,79.4120
4.6667,69.4220,74.6240,74.5340,74.6240,79.5200
4.7500,69.4580,74.6960,74.5880,74.6960,79.6280
4.8333,69.4940,74.7500,74.6420,74.7500,79.7360
4.9167,69.5300,74.8220,74.7140,74.8220,79.8440
5.0000,69.5660,74.8940,74.7680,74.8940,79.9520
5.0833,69.6200,74.9660,74.8400,74.9660,80.0600
5.1667,69.6560,75.0200,74.8940,75.0200,80.1680
5.2500,69.7100,75.0920,74.9480,75.0920,80.2760
5.3333,69.7640,75.1640,75.0200,75.1640,80.3840
5.4167,69.8180,75.2360,75.0740,75.2360,80.4920
5.5000,69.8720,75.3080,75.1460,75.3080,80.5820
5.5833,69.9260,75.3800,75.2180,75.3800,80.6900
5.6667,69.9800,75.4520,75.2720,75.4520,80.7980
5.7500,70.0340,75.5240,75.3440,75.5240,80.8880
5.8333,70.0880,75.5960,75.3980,75.5960,80.9960
5.9167,70.1600,75.6860,75.4700,75.6860,81.1040
6.0000,70.2140,75.7580,75.5420,75.7580,81.1940
6.0833,70.2680,75.8300,75.5960,75.8300,81.3020
6.1667,70.3400,75.9020,75.6680,75.9020,81.3920
6.2500,70.4120,75.9740,75.7400,75.9740,81.5000
6.3333,70.4660,76.0640,75.7940,76.0640,81.5900
6.4167,70.5380,76.1360,75.8660,76.1360,81.6800
6.5000,70.6100,76.2080,75.9380,76.2080,81.7880
6.5833,70.6820,76.2980,76.0100,76.2980,81.8780
6.6667,70.7540,76.3700,76.0640,76.3700,81.9860
6.7500,70.8260,76.4600,76.1360,76.4600,82.0760
6.8333,70.8980,76.5320,76.2080,76.5320,82.1660
6.9167,70.9700,76.6220,76.2800,76.6220,82.2740
7.0000,71.0420,76.6940,76.3520,76.6940,82.3640
7.0833,71.1320,76.7840,76.4240,76.7840,82.4540
7.1667,71.2040,76.8560,76.4780,76.8560,82.5620
7.2500,71.2760,76.9460,76.5500,76.9460,82.6520
7.3333,71.3660,77.0180,76.6220,77.0180,82.7420
7.4167,71.4380,77.1080,76.6940,77.1080,82.8320
7.5000,71.5280,77.1800,76.7660,77.1800,82.9220
7.5833,71.6000,77.2700,76.8380,77.2700,83.0120
7.6667,71.6900,77.3600,76.9100,77.3600,83.1020
7.7500,71.7620,77.4320,76.9640,77.4320,83.1740
7.8333,71.8520,77.5220,77.0360,77.5220,83.2640
7.9167,71.9420,77.6120,77.1080,77.6120,83.3540
8.0000,72.0140,77.7020,77.1800,77.7020,83.4260
8.0833,72.1040,77.7740,77.2520,77.7740,83.5160
8.1667,72.1940,77.8640,77.3240,77.8640,83.5880
8.2500,72.2660,77.9540,77.3960,77.9540,83.6780
8.3333,72.3560,78.0440,77.4680,78.0440,83.7680
8.4167,72.4460,78.1160,77.5220,78.1160,83.8400
8.5000,72.5180,78.2060,77.5940,78.2060,83.9300
8.5833,72.5900,78.2960,77.6660,78.2960,84.0020
8.6667,72.6800,78.3860,77.7380,78.3860,84.0920
8.7500,72.7520,78.4760,77.8100,78.4760,84.1640
8.8333,72.8420,78.5660,77.8820,78.5660,84.2540
8.9167,72.9140,78.6380,77.9540,78.6380,84.3260
9.0000,72.9860,78.7280,78.0260,78.7280,84.4160
9.0833,73.0580,78.8180,78.0980,78.8180,84.4880
9.1667,73.1480,78.9080,78.1520,78.9080,84.5780
9.2500,73.2200,78.9980,78.2240,78.9980,84.6500
9.3333,73.2920,79.0880,78.2960,79.0880,84.7220
9.4167,73.3640,79.1780,78.3680,79.1780,84.8120
9.5000,73.4180,79.2680,78.4400,79.2680,84.8840
9.5833,73.4900,79.3580,78.5120,79.3580,84.9560
9.6667,73.5620,79.4480,78.5840,79.4480,85.0280
9.7500,73.6340,79.5380,78.6560,79.5380,85.0820
9.8333,73.6880,79.6100,78.7100,79.6100,85.1540
9.9167,73.7600,79.7000,78.7820,79.7000,85.2260
10.0000,73.8140,79.7900,78.8540,79.7900,85.2980
10.0833,73.8860,79.8800,78.9260,79.8800,85.3520
10.1667,73.9400,79.9700,78.9980,79.9700,85.4240
10.2500,73.9940,80.0600,79.0700,80.0600,85.4960
10.3333,74.0480,80.1500,79.1240,80.1500,85.5500
10.4167,74.1020,80.2400,79.1960,80.2400,85.6220
10.5000,74.1560,80.3300,79.2680,80.3300,85.6760
10.5833,74.2100,80.4200,79.3400,80.4200,85.7480
10.6667,74.2640,80.5100,79.4120,80.5100,85.8200
10.7500,74.3000,80.6180,79.4660,80.6180,85.8740
10.8333,74.3540,80.7080,79.5380,80.7080,85.9460
10.9167,74.4080,80.7980,79.6100,80.7980,86.0000
11.0000,74.4440,80.8880,79.6820,80.8880,86.0720
11.0833,74.4980,80.9780,79.7540,80.9780,86.1440
11.1667,74.5340,81.0680,79.8080,81.0680,86.1980
11.2500,74.5700,81.1580,79.8800,81.1580,86.2700
11.3333,74.6060,81.2480,79.9520,81.2480,86.3240
11.4167,74.6420,81.3380,80.0240,81.3380,86.3960
11.5000,74.6600,81.4280,80.0780,81.4280,86.4500
11.5833,74.6960,81.5180,80.1500,81.5180,86.5040
11.6667,74.7320,81.6080,80.2220,81.6080,86.5760
11.7500,74.7500,81.6980,80.2760,81.6980,86.6300
11.8333,74.7680,81.7880,80.3480,81.7880,86.6840
11.9167,74.7860,81.8780,80.4200,81.8780,86.7380
12.0000,74.8040,81.9680,80.4920,81.9680,86.7920
12.0833,74.8220,82.0580,80.5460,82.0580,86.8640
12.1667,74.8400,82.1660,80.6180,82.1660,86.9180
12.2500,74.8580,82.2560,80.6900,82.2560,86.9720
12.3333,74.8580,82.3460,80.7440,82.3460,87.0080
12.4167,74.8760,82.4360,80.8160,82.4360,87.0620
12.5000,74.8760,82.5260,80.8880,82.5260,87.1160
12.5833,74.8760,82.6160,80.9420,82.6160,87.1700
12.6667,74.8760,82.7060,81.0140,82.7060,87.2060
12.7500,74.8760,82.7960,81.0680,82.7960,87.2600
12.8333,74.8760,82.8860,81.1400,82.8860,87.2960
12.9167,74.8760,82.9760,81.2120,82.9760,87.3500
13.0000,74.8580,83.0660,81.2660,83.0660,87.3860
13.0833,74.8580,83.1740,81.3380,83.1740,87.4220
13.1667,74.8400,83.2640,81.3920,83.2640,87.4760
13.2500,74.8220,83.3540,81.4640,83.3540,87.5120
13.3333,74.8040,83.4440,81.5180,83.4440,87.5480
13.4167,74.8040,83.5340,81.5900,83.5340,87.5840
13.5000,74.7680,83.6240,81.6620,83.6240,87.6380
13.5833,74.7500,83.7140,81.7160,83.7140,87.6740
13.6667,74.7320,83.8040,81.7880,83.8040,87.7100
13.7500,74.7140,83.8940,81.8420,83.8940,87.7460
13.8333,74.6780,83.9840,81.9140,83.9840,87.8000
13.9167,74.6600,84.0740,81.9680,84.0740,87.8360
14.0000,74.6240,84.1640,82.0400,84.1640,87.8720
14.0833,74.5880,84.2720,82.0940,84.2720,87.9080
14.1667,74.5520,84.3620,82.1480,84.3620,87.9440
14.2500,74.5340,84.4520,82.2200,84.4520,87.9800
