time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
0.0833,73.0040,73.1660,73.0040
0.1667,73.0040,73.3100,73.0040
0.2500,73.0040,73.4540,73.0040
0.3333,73.0040,73.5800,73.0040
0.4167,73.0040,73.7060,73.0040
0.5000,73.0040,73.8320,73.0040
0.5833,73.0040,73.9580,73.0040
0.6667,73.0040,74.0840,73.0040
0.7500,73.0040,74.2100,73.0040
0.8333,73.0040,74.3360,73.0040
0.9167,73.0040,74.4440,73.0040
1.0000,73.0040,74.5700,73.0040
1.0833,73.0040,74.6780,73.0040
1.1667,73.0040,74.7860,73.0040
1.2500,73.0040,74.8940,73.0040
1.3333,73.0040,75.0020,73.0040
1.4167,73.0040,75.0920,73.0040
1.5000,73.0040,75.2000,73.0040
1.5833,73.0040,75.2900,73.0040
1.6667,73.0040,75.3980,73.0040
1.7500,73.0040,75.4880,73.0040
1.8333,73.0040,75.5780,73.0040
1.9167,73.0040,75.6680,73.0040
2.0000,73.0040,75.7580,73.0040
2.0833,73.0040,75.8480,73.0040
2.1667,73.0040,75.9380,73.0040
2.2500,73.0040,76.0280,73.0040
2.3333,73.0040,76.1000,73.0040
2.4167,73.0040,76.1900,73.0040
2.5000,73.0040,76.2800,73.0040
2.5833,73.0220,76.3520,73.0040
2.6667,73.0220,76.4420,73.0040
2.7500,73.0220,76.5320,73.0040
2.8333,73.0400,76.6040,73.0040
2.9167,73.0400,76.6940,73.0040
3.0000,73.0580,76.7840,73.0040
3.0833,73.0580,76.8740,73.0040
3.1667,73.0760,76.9460,73.0040
3.2500,73.0940,77.0360,73.0040
3.3333,73.1120,77.1260,73.0040
3.4167,73.1300,77.2160,73.0040
3.5000,73.1480,77.3060,73.0040
3.5833,73.1660,77.3960,73.0040
3.6667,73.1840,77.4860,73.0040
3.7500,73.2200,77.5760,73.0040
3.8333,73.2560,77.6840,73.0040
3.9167,73.2740,77.7740,73.0040
4.0000,73.3100,77.8820,73.0040
4.0833,73.3460,77.9720,73.0040
4.1667,73.3820,78.0800,73.0040
4.2500,73.4360,78.1700,73.0040
4.3333,73.4720,78.2780,73.0040
4.4167,73.5260,78.3860,73.0040
4.5000,73.5800,78.4940,73.0040
4.5833,73.6340,78.6200,73.0040
4.6667,73.6880,78.7280,73.0040
4.7500,73.7420,78.8360,73.0040
4.8333,73.7960,78.9620,73.0040
4.9167,73.8680,79.0700,73.0040
5.0000,73.9400,79.1960,73.0040
5.0833,73.9940,79.3220,73.0040
5.1667,74.0660,79.4300,73.0040
5.2500,74.1560,79.5560,73.0040
5.3333,74.2280,79.6820,73.0040
5.4167,74.3000,79.8080,73.0040
5.5000,74.3900,79.9340,73.0040
5.5833,74.4800,80.0780,73.0040
5.6667,74.5700,80.2040,73.0040
5.7500,74.6600,80.3300,73.0040
5.8333,74.7500,80.4740,73.0040
5.9167,74.8400,80.6000,73.0040
6.0000,74.9480,80.7440,73.0040
6.0833,75.0380,80.8700,73.0040
6.1667,75.1460,81.0140,73.0040
6.2500,75.2540,81.1580,73.0040
6.3333,75.3620,81.3020,73.0040
6.4167,75.4700,81.4460,73.0040
6.5000,75.5960,81.5900,73.0040
6.5833,75.7040,81.7340,73.0040
6.6667,75.8300,81.8780,73.0040
6.7500,75.9380,82.0220,73.0040
6.8333,76.0640,82.1660,73.0040
6.9167,76.1900,82.3280,73.0040
7.0000,76.3160,82.4720,73.0040
7.0833,76.4420,82.6160,73.0040
7.1667,76.5860,82.7780,73.0040
7.2500,76.7120,82.9220,73.0040
7.3333,76.8560,83.0660,73.0040
7.4167,76.9820,83.2280,73.0040
