time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
0.0833,73.0040,73.1660,73.0040
0.1667,73.0040,73.3100,73.0040
0.2500,73.0040,73.4540,73.0040
0.3333,73.0040,73.5800,73.0040
0.4167,73.0220,73.7240,73.0040
0.5000,73.0400,73.8680,73.0040
0.5833,73.0580,74.0300,73.0040
0.6667,73.0940,74.1740,73.0040
0.7500,73.1120,74.3360,73.0040
0.8333,73.1660,74.4980,73.0040
0.9167,73.2020,74.6600,73.0040
1.0000,73.2560,74.8220,73.0040
1.0833,73.3100,74.9840,73.0040
1.1667,73.3640,75.1640,73.0040
1.2500,73.4360,75.3260,73.0040
1.3333,73.5080,75.5060,73.0040
1.4167,73.5800,75.6680,73.0040
1.5000,73.6520,75.8480,73.0040
1.5833,73.7240,76.0280,73.0040
1.6667,73.8140,76.1900,73.0040
1.7500,73.8860,76.3700,73.0040
1.8333,73.9760,76.5500,73.0040
1.9167,74.0660,76.7300,73.0040
2.0000,74.1560,76.8920,73.0040
2.0833,74.2460,77.0720,73.0040
2.1667,74.3540,77.2520,73.0040
2.2500,74.4440,77.4140,73.0040
2.3333,74.5340,77.5940,73.0040
2.4167,74.6420,77.7740,73.0040
2.5000,74.7500,77.9360,73.0040
2.5833,74.8580,78.1160,73.0040
2.6667,74.9480,78.2780,73.0040
2.7500,75.0560,78.4580,73.0040
2.8333,75.1640,78.6200,73.0040
2.9167,75.2720,78.8000,73.0040
3.0000,75.3800,78.9620,73.0040
3.0833,75.5060,79.1240,73.0040
3.1667,75.6140,79.3040,73.0040
3.2500,75.7220,79.4660,73.0040
3.3333,75.8300,79.6280,73.0040
3.4167,75.9560,79.7900,73.0040
3.5000,76.0640,79.9520,73.0040
3.5833,76.1720,80.1140,73.0040
3.6667,76.2980,80.2760,73.0040
3.7500,76.4060,80.4200,73.0040
3.8333,76.5320,80.5820,73.0040
3.9167,76.6400,80.7440,73.0040
4.0000,76.7660,80.8880,73.0040
4.0833,76.8920,81.0500,73.0040
4.1667,77.0000,81.1940,73.0040
4.2500,77.1260,81.3380,73.0040
4.3333,77.2520,81.4820,73.0040
4.4167,77.3600,81.6260,73.0040
4.5000,77.4860,81.7700,73.0040
4.5833,77.6120,81.9140,73.0040
4.6667,77.7200,82.0580,73.0040
4.7500,77.8460,82.2020,73.0040
4.8333,77.9720,82.3460,73.0040
4.9167,78.0980,82.4720,73.0040
5.0000,78.2060,82.6160,73.0040
5.0833,78.3320,82.7420,73.0040
5.1667,78.4580,82.8860,73.0040
5.2500,78.5840,83.0120,73.0040
5.3333,78.7100,83.1380,73.0040
5.4167,78.8360,83.2640,73.0040
5.5000,78.9440,83.3900,73.0040
5.5833,79.0700,83.5160,73.0040
5.6667,79.1960,83.6420,73.0040
5.7500,79.3220,83.7680,73.0040
5.8333,79.4480,83.8760,73.0040
5.9167,79.5740,84.0020,73.0040
6.0000,79.7000,84.1100,73.0040
6.0833,79.8080,84.2360,73.0040
6.1667,79.9340,84.3440,73.0040
6.2500,80.0600,84.4700,73.0040
6.3333,80.1860,84.5780,73.0040
6.4167,80.3120,84.6860,73.0040
6.5000,80.4380,84.7940,73.0040
6.5833,80.5640,84.9020,73.0040
6.6667,80.6720,85.0280,73.0040
6.7500,80.7980,85.1360,73.0040
6.8333,80.9240,85.2440,73.0040
6.9167,81.0500,85.3520,73.0040
7.0000,81.1760,85.4600,73.0040
7.0833,81.3020,85.5680,73.0040
7.1667,81.4280,85.6760,73.0040
7.2500,81.5360,85.7660,73.0040
7.3333,81.6620,85.8740,73.0040
7.4167,81.7880,85.9640,73.0040
