time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
0.0833,73.1660,73.1660,73.0040
0.1667,73.3100,73.3100,73.0040
0.2500,73.4540,73.4540,73.0040
0.3333,73.5800,73.5800,73.0040
0.4167,73.7060,73.7060,73.0040
0.5000,73.8320,73.8320,73.0040
0.5833,73.9580,73.9580,73.0040
0.6667,74.0840,74.0840,73.0040
0.7500,74.2100,74.2100,73.0040
0.8333,74.3360,74.3360,73.0040
0.9167,74.4440,74.4440,73.0040
1.0000,74.5700,74.5700,73.0040
1.0833,74.6780,74.6780,73.0040
1.1667,74.7860,74.7860,73.0040
1.2500,74.8940,74.8940,73.0040
1.3333,75.0020,75.0020,73.0040
1.4167,75.0920,75.0920,73.0040
1.5000,75.2000,75.2000,73.0040
1.5833,75.2900,75.2900,73.0040
1.6667,75.3980,75.3980,73.0040
1.7500,75.4880,75.4880,73.0040
1.8333,75.5780,75.5780,73.0040
1.9167,75.6680,75.6680,73.0040
2.0000,75.7580,75.7580,73.0040
2.0833,75.8480,75.8480,73.0040
2.1667,75.9380,75.9380,73.0040
2.2500,76.0100,76.0100,73.0040
2.3333,76.1000,76.1000,73.0040
2.4167,76.1720,76.1720,73.0040
2.5000,76.2620,76.2620,73.0040
2.5833,76.3340,76.3340,73.0040
2.6667,76.4240,76.4240,73.0040
2.7500,76.4960,76.4960,73.0040
2.8333,76.5680,76.5680,73.0040
2.9167,76.6400,76.6400,73.0040
3.0000,76.7120,76.7120,73.0040
3.0833,76.7840,76.7840,73.0040
3.1667,76.8560,76.8560,73.0040
3.2500,76.9280,76.9280,73.0040
3.3333,77.0000,77.0000,73.0040
3.4167,77.0720,77.0720,73.0040
3.5000,77.1440,77.1440,73.0040
3.5833,77.1980,77.1980,73.0040
3.6667,77.2700,77.2700,73.0040
3.7500,77.3240,77.3240,73.0040
3.8333,77.3960,77.3960,73.0040
3.9167,77.4500,77.4500,73.0040
4.0000,77.5220,77.5220,73.0040
4.0833,77.5760,77.5760,73.0040
