time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
0.0833,60.0080,60.1520,60.0080
0.1667,60.0080,60.2780,60.0080
0.2500,60.0080,60.4040,60.0080
0.3333,60.0080,60.5300,60.0080
0.4167,60.0080,60.6380,60.0080
0.5000,60.0080,60.7640,60.0080
0.5833,60.0080,60.8720,60.0080
0.6667,60.0080,60.9800,60.0080
0.7500,60.0080,61.1060,60.0080
0.8333,60.0080,61.2140,60.0080
0.9167,60.0080,61.3040,60.0080
1.0000,60.0080,61.4120,60.0080
1.0833,60.0080,61.5200,60.0080
1.1667,60.0080,61.6100,60.0080
1.2500,60.0080,61.7180,60.0080
1.3333,60.0080,61.8080,60.0080
1.4167,60.0080,61.8980,60.0080
1.5000,60.0080,61.9880,60.0080
1.5833,60.0080,62.0780,60.0080
1.6667,60.0080,62.1680,60.0080
1.7500,60.0080,62.2580,60.0080
1.8333,60.0080,62.3480,60.0080
1.9167,60.0080,62.4200,60.0080
2.0000,60.0080,62.5100,60.0080
2.0833,60.0080,62.5820,60.0080
2.1667,60.0080,62.6540,60.0080
2.2500,60.0080,62.7440,60.0080
2.3333,60.0080,62.8160,60.0080
2.4167,60.0080,62.8880,60.0080
2.5000,60.0080,62.9600,60.0080
2.5833,60.0080,63.0320,60.0080
2.6667,60.0080,63.1040,60.0080
2.7500,60.0080,63.1760,60.0080
2.8333,60.0080,63.2480,60.0080
2.9167,60.0080,63.3200,60.0080
3.0000,60.0080,63.3740,60.0080
3.0833,60.0080,63.4460,60.0080
3.1667,60.0080,63.5180,60.0080
3.2500,60.0080,63.5720,60.0080
3.3333,60.0080,63.6440,60.0080
3.4167,60.0080,63.7160,60.0080
3.5000,60.0080,63.7700,60.0080
3.5833,60.0260,63.8420,60.0080
3.6667,60.0260,63.8960,60.0080
3.7500,60.0260,63.9680,60.0080
3.8333,60.0260,64.0220,60.0080
3.9167,60.0440,64.0760,60.0080
4.0000,60.0440,64.1480,60.0080
4.0833,60.0440,64.2020,60.0080
4.1667,60.0620,64.2740,60.0080
4.2500,60.0620,64.3280,60.0080
4.3333,60.0620,64.3820,60.0080
4.4167,60.0800,64.4540,60.0080
4.5000,60.0800,64.5080,60.0080
4.5833,60.0980,64.5800,60.0080
4.6667,60.1160,64.6340,60.0080
4.7500,60.1160,64.6880,60.0080
4.8333,60.1340,64.7600,60.0080
4.9167,60.1520,64.8140,60.0080
5.0000,60.1700,64.8860,60.0080
5.0833,60.1700,64.9400,60.0080
5.1667,60.1880,65.0120,60.0080
5.2500,60.2060,65.0660,60.0080
5.3333,60.2240,65.1380,60.0080
5.4167,60.2420,65.1920,60.0080
5.5000,60.2780,65.2640,60.0080
5.5833,60.2960,65.3180,60.0080
5.6667,60.3140,65.3900,60.0080
5.7500,60.3320,65.4620,60.0080
5.8333,60.3680,65.5160,60.0080
5.9167,60.3860,65.5880,60.0080
6.0000,60.4220,65.6420,60.0080
6.0833,60.4400,65.7140,60.0080
6.1667,60.4760,65.7860,60.0080
6.2500,60.5120,65.8580,60.0080
6.3333,60.5300,65.9300,60.0080
6.4167,60.5660,65.9840,60.0080
6.5000,60.6020,66.0560,60.0080
6.5833,60.6380,66.1280,60.0080
6.6667,60.6740,66.2000,60.0080
6.7500,60.7100,66.2720,60.0080
6.8333,60.7460,66.3440,60.0080
6.9167,60.7820,66.4340,60.0080
7.0000,60.8360,66.5060,60.0080
7.0833,60.8720,66.5780,60.0080
7.1667,60.9080,66.6500,60.0080
7.2500,60.9620,66.7220,60.0080
7.3333,60.9980,66.8120,60.0080
7.4167,61.0520,66.8840,60.0080
7.5000,61.0880,66.9560,60.0080
7.5833,61.1420,67.0280,60.0080
7.6667,61.1960,67.1000,60.0080
7.7500,61.2500,67.1900,60.0080
7.8333,61.3040,67.2620,60.0080
7.9167,61.3580,67.3340,60.0080
8.0000,61.4120,67.4060,60.0080
8.0833,61.4660,67.4960,60.0080
8.1667,61.5200,67.5680,60.0080
8.2500,61.5740,67.6400,60.0080
8.3333,61.6280,67.7300,60.0080
8.4167,61.6820,67.8020,60.0080
8.5000,61.7540,67.8740,60.0080
8.5833,61.8080,67.9640,60.0080
8.6667,61.8800,68.0360,60.0080
8.7500,61.9340,68.1260,60.0080
8.8333,62.0060,68.2160,60.0080
8.9167,62.0600,68.2880,60.0080
9.0000,62.1320,68.3780,60.0080
9.0833,62.2040,68.4680,60.0080
9.1667,62.2760,68.5400,60.0080
9.2500,62.3300,68.6300,60.0080
9.3333,62.4020,68.7200,60.0080
9.4167,62.4740,68.7920,60.0080
9.5000,62.5460,68.8820,60.0080
9.5833,62.6180,68.9540,60.0080
9.6667,62.6900,69.0440,60.0080
9.7500,62.7800,69.1160,60.0080
9.8333,62.8520,69.2060,60.0080
9.9167,62.9240,69.2780,60.0080
10.0000,62.9960,69.3500,60.0080
10.0833,63.0860,69.4400,60.0080
10.1667,63.1580,69.5120,60.0080
10.2500,63.2300,69.6020,60.0080
10.3333,63.3200,69.6740,60.0080
10.4167,63.3920,69.7640,60.0080
10.5000,63.4820,69.8360,60.0080
10.5833,63.5720,69.9260,60.0080
10.6667,63.6440,69.9980,60.0080
10.7500,63.7340,70.0880,60.0080
10.8333,63.8240,70.1600,60.0080
10.9167,63.9140,70.2500,60.0080
11.0000,63.9860,70.3400,60.0080
11.0833,64.0760,70.4120,60.0080
11.1667,64.1660,70.5020,60.0080
11.2500,64.2560,70.5740,60.0080
11.3333,64.3460,70.6640,60.0080
11.4167,64.4360,70.7360,60.0080
11.5000,64.5260,70.8260,60.0080
11.5833,64.6160,70.8980,60.0080
11.6667,64.7060,70.9880,60.0080
11.7500,64.8140,71.0600,60.0080
11.8333,64.9040,71.1500,60.0080
11.9167,64.9940,71.2220,60.0080
12.0000,65.0840,71.3120,60.0080
12.0833,65.1920,71.3840,60.0080
12.1667,65.2820,71.4560,60.0080
12.2500,65.3720,71.5460,60.0080
12.3333,65.4800,71.6180,60.0080
12.4167,65.5700,71.6900,60.0080
12.5000,65.6780,71.7620,60.0080
12.5833,65.7680,71.8340,60.0080
12.6667,65.8760,71.9060,60.0080
12.7500,65.9660,71.9780,60.0080
12.8333,66.0740,72.0500,60.0080
12.9167,66.1820,72.1220,60.0080
13.0000,66.2720,72.1940,60.0080
13.0833,66.3800,72.2660,60.0080
13.1667,66.4880,72.3200,60.0080
13.2500,66.5960,72.3920,60.0080
13.3333,66.6860,72.4640,60.0080
13.4167,66.7940,72.5360,60.0080
13.5000,66.9020,72.5900,60.0080
13.5833,67.0100,72.6620,60.0080
13.6667,67.1180,72.7340,60.0080
13.7500,67.2260,72.8060,60.0080
13.8333,67.3340,72.8600,60.0080
13.9167,67.4420,72.9320,60.0080
14.0000,67.5500,73.0040,60.0080
14.0833,67.6580,73.0580,60.0080
14.1667,67.7660,73.1300,60.0080
14.2500,67.8740,73.1840,60.0080
14.3333,67.9820,73.2380,60.0080
14.4167,68.0900,73.3100,60.0080
14.5000,68.1980,73.3640,60.0080
14.5833,68.3060,73.4180,60.0080
14.6667,68.4140,73.4720,60.0080
14.7500,68.5220,73.5260,60.0080
14.8333,68.6480,73.5800,60.0080
14.9167,68.7560,73.6160,60.0080
15.0000,68.8640,73.6700,60.0080
15.0833,68.9720,73.7240,60.0080
15.1667,69.0980,73.7600,60.0080
15.2500,69.2060,73.8140,60.0080
15.3333,69.3140,73.8500,60.0080
15.4167,69.4400,73.9040,60.0080
15.5000,69.5480,73.9580,60.0080
15.5833,69.6560,74.0120,60.0080
15.6667,69.7820,74.0480,60.0080
15.7500,69.8900,74.1020,60.0080
15.8333,69.9980,74.1560,60.0080
15.9167,70.1240,74.2100,60.0080
16.0000,70.2320,74.2460,60.0080
16.0833,70.3580,74.3000,60.0080
16.1667,70.4660,74.3540,60.0080
16.2500,70.5920,74.4080,60.0080
16.3333,70.7000,74.4440,60.0080
16.4167,70.8260,74.4980,60.0080
16.5000,70.9340,74.5520,60.0080
16.5833,71.0600,74.5880,60.0080
16.6667,71.1680,74.6420,60.0080
16.7500,71.2940,74.6780,60.0080
16.8333,71.4200,74.7320,60.0080
16.9167,71.5280,74.7860,60.0080
17.0000,71.6540,74.8220,60.0080
17.0833,71.7620,74.8760,60.0080
17.1667,71.8880,74.9120,60.0080
17.2500,72.0140,74.9660,60.0080
17.3333,72.1220,75.0020,60.0080
