time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
0.0833,73.0040,73.1660,73.0040
0.1667,73.0040,73.3100,73.0040
0.2500,73.0040,73.4540,73.0040
0.3333,73.0040,73.5800,73.0040
0.4167,73.0040,73.7060,73.0040
0.5000,73.0040,73.8320,73.0040
0.5833,73.0040,73.9760,73.0040
0.6667,73.0040,74.0840,73.0040
0.7500,73.0040,74.2100,73.0040
0.8333,73.0040,74.3360,73.0040
0.9167,73.0040,74.4620,73.0040
1.0000,73.0040,74.5700,73.0040
1.0833,73.0220,74.6960,73.0040
1.1667,73.0220,74.8040,73.0040
1.2500,73.0220,74.9120,73.0040
1.3333,73.0400,75.0380,73.0040
1.4167,73.0400,75.1460,73.0040
1.5000,73.0580,75.2540,73.0040
1.5833,73.0760,75.3620,73.0040
1.6667,73.0760,75.4880,73.0040
1.7500,73.0940,75.5960,73.0040
1.8333,73.1120,75.7040,73.0040
1.9167,73.1300,75.8120,73.0040
2.0000,73.1660,75.9380,73.0040
2.0833,73.1840,76.0460,73.0040
2.1667,73.2020,76.1540,73.0040
2.2500,73.2380,76.2620,73.0040
2.3333,73.2560,76.3700,73.0040
2.4167,73.2920,76.4960,73.0040
2.5000,73.3280,76.6040,73.0040
2.5833,73.3640,76.7120,73.0040
2.6667,73.4000,76.8200,73.0040
2.7500,73.4360,76.9460,73.0040
2.8333,73.4720,77.0540,73.0040
2.9167,73.5080,77.1620,73.0040
3.0000,73.5440,77.2880,73.0040
3.0833,73.5980,77.3960,73.0040
3.1667,73.6340,77.5040,73.0040
3.2500,73.6700,77.6300,73.0040
3.3333,73.7240,77.7380,73.0040
3.4167,73.7780,77.8460,73.0040
3.5000,73.8140,77.9720,73.0040
3.5833,73.8680,78.0800,73.0040
3.6667,73.9220,78.1880,73.0040
3.7500,73.9760,78.2960,73.0040
3.8333,74.0300,78.4220,73.0040
3.9167,74.0840,78.5300,73.0040
4.0000,74.1380,78.6380,73.0040
4.0833,74.1920,78.7460,73.0040
4.1667,74.2640,78.8720,73.0040
4.2500,74.3180,78.9800,73.0040
4.3333,74.3720,79.0880,73.0040
4.4167,74.4440,79.1960,73.0040
4.5000,74.4980,79.3040,73.0040
4.5833,74.5700,79.4120,73.0040
4.6667,74.6240,79.5200,73.0040
4.7500,74.6960,79.6280,73.0040
4.8333,74.7500,79.7360,73.0040
4.9167,74.8220,79.8440,73.0040
5.0000,74.8940,79.9520,73.0040
5.0833,74.9660,80.0600,73.0040
5.1667,75.0200,80.1680,73.0040
5.2500,75.0920,80.2760,73.0040
5.3333,75.1640,80.3840,73.0040
5.4167,75.2360,80.4920,73.0040
5.5000,75.3080,80.5820,73.0040
5.5833,75.3800,80.6900,73.0040
5.6667,75.4520,80.7980,73.0040
5.7500,75.5240,80.8880,73.0040
5.8333,75.5960,80.9960,73.0040
5.9167,75.6860,81.1040,73.0040
6.0000,75.7580,81.1940,73.0040
6.0833,75.8300,81.3020,73.0040
6.1667,75.9020,81.3920,73.0040
6.2500,75.9740,81.5000,73.0040
6.3333,76.0640,81.5900,73.0040
6.4167,76.1360,81.6800,73.0040
6.5000,76.2080,81.7880,73.0040
6.5833,76.2980,81.8780,73.0040
6.6667,76.3700,81.9860,73.0040
6.7500,76.4600,82.0760,73.0040
6.8333,76.5320,82.1660,73.0040
6.9167,76.6220,82.2740,73.0040
7.0000,76.6940,82.3640,73.0040
7.0833,76.7840,82.4540,73.0040
7.1667,76.8560,82.5620,73.0040
7.2500,76.9460,82.6520,73.0040
7.3333,77.0180,82.7420,73.0040
7.4167,77.1080,82.8320,73.0040
