time_hrs,T_engine_F,T_cw_F,delta_F
0.0833,60.0000,60.0080,-0.00800
0.1667,60.0000,60.0080,-0.00800
0.2500,60.0000,60.0080,-0.00800
0.3333,60.0000,60.0080,-0.00800
0.4167,60.0000,60.0080,-0.00800
0.5000,60.0000,60.0080,-0.00800
0.5833,60.0000,60.0080,-0.00800
0.6667,60.0000,60.0080,-0.00800
0.7500,60.0000,60.0080,-0.00800
0.8333,60.0000,60.0080,-0.00800
0.9167,60.0000,60.0080,-0.00800
1.0000,60.0000,60.0080,-0.00800
1.0833,60.0000,60.0080,-0.00800
1.1667,60.0000,60.0080,-0.00800
1.2500,60.0000,60.0080,-0.00800
1.3333,60.0000,60.0080,-0.00800
1.4167,60.0000,60.0080,-0.00800
1.5000,60.0000,60.0080,-0.00800
1.5833,60.0000,60.0080,-0.00800
1.6667,60.0000,60.0080,-0.00799
1.7500,60.0000,60.0080,-0.00799
1.8333,60.0000,60.0080,-0.00797
1.9167,60.0000,60.0080,-0.00795
2.0000,60.0001,60.0080,-0.00792
2.0833,60.0001,60.0080,-0.00787
2.1667,60.0002,60.0080,-0.00780
2.2500,60.0003,60.0080,-0.00770
2.3333,60.0004,60.0080,-0.00755
2.4167,60.0006,60.0080,-0.00736
2.5000,60.0009,60.0080,-0.00709
2.5833,60.0013,60.0080,-0.00674
2.6667,60.0017,60.0080,-0.00630
2.7500,60.0023,60.0080,-0.00573
2.8333,60.0030,60.0080,-0.00502
2.9167,60.0039,60.0080,-0.00415
3.0000,60.0049,60.0080,-0.00308
3.0833,60.0062,60.0080,-0.00180
3.1667,60.0077,60.0080,-0.00027
3.2500,60.0095,60.0080,0.00153
3.3333,60.0116,60.0080,0.00364
3.4167,60.0141,60.0080,0.00609
3.5000,60.0169,60.0080,0.00890
3.5833,60.0201,60.0260,-0.00588
3.6667,60.0238,60.0260,-0.00222
3.7500,60.0279,60.0260,0.00191
3.8333,60.0325,60.0260,0.00654
3.9167,60.0377,60.0440,-0.00629
4.0000,60.0435,60.0440,-0.00055
4.0833,60.0498,60.0440,0.00579
4.1667,60.0568,60.0620,-0.00522
4.2500,60.0644,60.0620,0.00243
4.3333,60.0728,60.0620,0.01077
4.4167,60.0819,60.0800,0.00186
4.5000,60.0917,60.0800,0.01170
4.5833,60.1023,60.0980,0.00432
4.6667,60.1138,60.1160,-0.00223
4.7500,60.1260,60.1160,0.01005
4.8333,60.1392,60.1340,0.00519
4.9167,60.1532,60.1520,0.00124
5.0000,60.1682,60.1700,-0.00181
5.0833,60.1841,60.1700,0.01407
5.1667,60.2009,60.1880,0.01293
5.2500,60.2187,60.2060,0.01274
5.3333,60.2375,60.2240,0.01354
5.4167,60.2574,60.2420,0.01538
5.5000,60.2782,60.2780,0.00021
5.5833,60.3001,60.2960,0.00409
5.6667,60.3230,60.3140,0.00904
5.7500,60.3470,60.3320,0.01503
5.8333,60.3721,60.3680,0.00410
5.9167,60.3983,60.3860,0.01228
6.0000,60.4255,60.4220,0.00353
6.0833,60.4539,60.4400,0.01388
6.1667,60.4834,60.4760,0.00737
6.2500,60.5139,60.5120,0.00194
6.3333,60.5456,60.5300,0.01563
6.4167,60.5785,60.5660,0.01249
6.5000,60.6124,60.6020,0.01043
6.5833,60.6475,60.6380,0.00950
6.6667,60.6838,60.6740,0.00975
6.7500,60.7211,60.7100,0.01109
6.8333,60.7596,60.7460,0.01356
6.9167,60.7992,60.7820,0.01720
7.0000,60.8399,60.8360,0.00394
7.0833,60.8818,60.8720,0.00980
7.1667,60.9248,60.9080,0.01684
7.2500,60.9690,60.9620,0.00695
7.3333,61.0142,60.9980,0.01618
7.4167,61.0606,61.0520,0.00859
7.5000,61.1080,61.0880,0.02005
7.5833,61.1566,61.1420,0.01462
7.6667,61.2063,61.1960,0.01035
7.7500,61.2571,61.2500,0.00711
7.8333,61.3090,61.3040,0.00497
7.9167,61.3620,61.3580,0.00397
8.0000,61.4160,61.4120,0.00399
8.0833,61.4711,61.4660,0.00508
8.1667,61.5273,61.5200,0.00729
8.2500,61.5845,61.5740,0.01050
8.3333,61.6427,61.6280,0.01475
8.4167,61.7021,61.6820,0.02011
8.5000,61.7624,61.7540,0.00843
8.5833,61.8238,61.8080,0.01577
8.6667,61.8862,61.8800,0.00620
8.7500,61.9496,61.9340,0.01556
8.8333,62.0139,62.0060,0.00791
8.9167,62.0793,62.0600,0.01933
9.0000,62.1456,62.1320,0.01364
9.0833,62.2129,62.2040,0.00892
9.1667,62.2812,62.2760,0.00525
9.2500,62.3504,62.3300,0.02043
9.3333,62.4206,62.4020,0.01856
9.4167,62.4917,62.4740,0.01770
9.5000,62.5637,62.5460,0.01767
9.5833,62.6366,62.6180,0.01855
9.6667,62.7104,62.6900,0.02042
9.7500,62.7851,62.7800,0.00509
9.8333,62.8606,62.8520,0.00864
9.9167,62.9371,62.9240,0.01315
10.0000,63.0144,62.9960,0.01842
10.0833,63.0925,63.0860,0.00654
10.1667,63.1716,63.1580,0.01360
10.2500,63.2514,63.2300,0.02139
