time_hrs,T_engine_F,T_cw_F,delta_F
0.0833,73.0000,73.1660,-0.16600
0.1667,73.0000,73.3100,-0.31000
0.2500,73.0000,73.4540,-0.45400
0.3333,73.0000,73.5800,-0.58000
0.4167,73.0000,73.7060,-0.70600
0.5000,73.0000,73.8320,-0.83200
0.5833,73.0000,73.9580,-0.95800
0.6667,73.0000,74.0840,-1.08400
0.7500,73.0000,74.2100,-1.21000
0.8333,73.0000,74.3360,-1.33600
0.9167,73.0000,74.4440,-1.44400
1.0000,73.0000,74.5700,-1.57000
1.0833,73.0000,74.6780,-1.67800
1.1667,73.0000,74.7860,-1.78600
1.2500,73.0000,74.8940,-1.89400
1.3333,73.0000,75.0020,-2.00200
1.4167,73.0000,75.0920,-2.09200
1.5000,73.0000,75.2000,-2.20000
1.5833,73.0000,75.2900,-2.29000
1.6667,73.0000,75.3980,-2.39800
1.7500,73.0000,75.4880,-2.48800
1.8333,73.0000,75.5780,-2.57800
1.9167,73.0000,75.6680,-2.66799
2.0000,73.0000,75.7580,-2.75799
2.0833,73.0000,75.8480,-2.84799
2.1667,73.0000,75.9380,-2.93798
2.2500,73.0000,76.0100,-3.00998
2.3333,73.0000,76.1000,-3.09997
2.4167,73.0000,76.1720,-3.17196
2.5000,73.0000,76.2620,-3.26195
2.5833,73.0001,76.3340,-3.33394
2.6667,73.0001,76.4240,-3.42392
2.7500,73.0001,76.4960,-3.49590
2.8333,73.0001,76.5680,-3.56788
2.9167,73.0001,76.6400,-3.63985
3.0000,73.0002,76.7120,-3.71183
3.0833,73.0002,76.7840,-3.78379
3.1667,73.0002,76.8560,-3.85576
3.2500,73.0003,76.9280,-3.92771
3.3333,73.0003,77.0000,-3.99967
3.4167,73.0004,77.0720,-4.07162
3.5000,73.0004,77.1440,-4.14356
3.5833,73.0005,77.1980,-4.19750
3.6667,73.0006,77.2700,-4.26943
3.7500,73.0006,77.3240,-4.32336
3.8333,73.0007,77.3960,-4.39529
3.9167,73.0008,77.4500,-4.44920
4.0000,73.0009,77.5220,-4.52111
4.0833,73.0010,77.5760,-4.57502
4.1667,73.0011,77.6300,-4.62892
4.2500,73.0012,77.7020,-4.70081
4.3333,73.0013,77.7560,-4.75470
4.4167,73.0014,77.8100,-4.80858
4.5000,73.0015,77.8640,-4.86246
4.5833,73.0017,77.9180,-4.91633
4.6667,73.0018,77.9720,-4.97019
4.7500,73.0020,78.0260,-5.02405
4.8333,73.0021,78.0800,-5.07790
4.9167,73.0023,78.1340,-5.13174
5.0000,73.0024,78.1880,-5.18558
5.0833,73.0026,78.2420,-5.23942
5.1667,73.0028,78.2960,-5.29324
5.2500,73.0029,78.3320,-5.32907
5.3333,73.0031,78.3860,-5.38288
5.4167,73.0033,78.4400,-5.43669
5.5000,73.0035,78.4760,-5.47250
5.5833,73.0037,78.5300,-5.52630
5.6667,73.0039,78.5840,-5.58009
