time_hrs,T_engine_F,T_cw_F,delta_F
0.0833,73.0000,73.0040,-0.00400
0.1667,73.0000,73.0040,-0.00400
0.2500,73.0000,73.0040,-0.00400
0.3333,73.0000,73.0040,-0.00400
0.4167,73.0000,73.0040,-0.00400
0.5000,73.0000,73.0040,-0.00400
0.5833,73.0000,73.0040,-0.00400
0.6667,73.0000,73.0040,-0.00400
0.7500,73.0000,73.0040,-0.00400
0.8333,73.0000,73.0040,-0.00400
0.9167,73.0000,73.0040,-0.00400
1.0000,73.0000,73.0040,-0.00400
1.0833,73.0000,73.0040,-0.00400
1.1667,73.0000,73.0040,-0.00400
1.2500,73.0000,73.0040,-0.00399
1.3333,73.0000,73.0040,-0.00399
1.4167,73.0000,73.0040,-0.00397
1.5000,73.0001,73.0040,-0.00393
1.5833,73.0001,73.0040,-0.00387
1.6667,73.0002,73.0040,-0.00377
1.7500,73.0004,73.0040,-0.00361
1.8333,73.0006,73.0040,-0.00337
1.9167,73.0010,73.0040,-0.00301
2.0000,73.0015,73.0040,-0.00251
2.0833,73.0022,73.0040,-0.00181
2.1667,73.0031,73.0040,-0.00088
2.2500,73.0043,73.0040,0.00034
2.3333,73.0059,73.0040,0.00191
2.4167,73.0079,73.0040,0.00390
2.5000,73.0104,73.0040,0.00636
2.5833,73.0134,73.0040,0.00936
2.6667,73.0170,73.0220,-0.00501
2.7500,73.0213,73.0220,-0.00070
2.8333,73.0264,73.0220,0.00439
2.9167,73.0323,73.0220,0.01032
3.0000,73.0392,73.0400,-0.00084
3.0833,73.0470,73.0400,0.00700
3.1667,73.0559,73.0580,-0.00209
3.2500,73.0660,73.0580,0.00796
3.3333,73.0772,73.0760,0.00120
3.4167,73.0897,73.0940,-0.00426
3.5000,73.1036,73.0940,0.00960
3.5833,73.1189,73.1120,0.00686
3.6667,73.1356,73.1300,0.00560
3.7500,73.1538,73.1480,0.00584
3.8333,73.1736,73.1660,0.00763
3.9167,73.1951,73.1840,0.01107
4.0000,73.2181,73.2200,-0.00187
4.0833,73.2429,73.2380,0.00489
4.1667,73.2694,73.2560,0.01342
4.2500,73.2977,73.2920,0.00568
4.3333,73.3277,73.3280,-0.00026
4.4167,73.3597,73.3460,0.01366
4.5000,73.3934,73.3820,0.01139
4.5833,73.4290,73.4180,0.01098
4.6667,73.4665,73.4540,0.01251
4.7500,73.5059,73.4900,0.01590
4.8333,73.5472,73.5440,0.00319
4.9167,73.5905,73.5800,0.01046
5.0000,73.6356,73.6340,0.00160
5.0833,73.6827,73.6700,0.01268
5.1667,73.7317,73.7240,0.00775
5.2500,73.7827,73.7780,0.00469
5.3333,73.8356,73.8320,0.00356
5.4167,73.8904,73.8860,0.00443
5.5000,73.9472,73.9400,0.00715
5.5833,74.0058,73.9940,0.01179
5.6667,74.0664,74.0660,0.00040
5.7500,74.1288,74.1200,0.00884
5.8333,74.1932,74.1920,0.00116
5.9167,74.2594,74.2460,0.01343
6.0000,74.3275,74.3180,0.00948
6.0833,74.3974,74.3900,0.00736
6.1667,74.4692,74.4620,0.00716
6.2500,74.5427,74.5340,0.00868
6.3333,74.6180,74.6060,0.01199
6.4167,74.6952,74.6960,-0.00083
6.5000,74.7740,74.7680,0.00600
6.5833,74.8546,74.8400,0.01457
6.6667,74.9370,74.9300,0.00695
6.7500,75.0209,75.0200,0.00092
6.8333,75.1066,75.1100,-0.00343
6.9167,75.1940,75.1820,0.01197
7.0000,75.2829,75.2720,0.01089
7.0833,75.3734,75.3620,0.01142
7.1667,75.4656,75.4700,-0.00436
7.2500,75.5593,75.5600,-0.00068
7.3333,75.6545,75.6500,0.00453
7.4167,75.7514,75.7580,-0.00663
7.5000,75.8496,75.8480,0.00159
7.5833,75.9493,75.9560,-0.00672
7.6667,76.0505,76.0460,0.00454
7.7500,76.1531,76.1540,-0.00090
7.8333,76.2571,76.2620,-0.00493
7.9167,76.3625,76.3700,-0.00747
8.0000,76.4692,76.4780,-0.00877
8.0833,76.5773,76.5860,-0.00874
8.1667,76.6867,76.6940,-0.00727
8.2500,76.7974,76.8020,-0.00465
8.3333,76.9092,76.9100,-0.00076
8.4167,77.0225,77.0360,-0.01350
8.5000,77.1369,77.1440,-0.00715
8.5833,77.2524,77.2700,-0.01760
8.6667,77.3693,77.3780,-0.00874
8.7500,77.4871,77.5040,-0.01686
8.8333,77.6061,77.6120,-0.00586
8.9167,77.7264,77.7380,-0.01160
9.0000,77.8476,77.8640,-0.01639
9.0833,77.9699,77.9900,-0.02012
9.1667,78.0933,78.1160,-0.02265
9.2500,78.2177,78.2420,-0.02431
9.3333,78.3430,78.3680,-0.02496
9.4167,78.4695,78.4940,-0.02447
9.5000,78.5968,78.6200,-0.02317
9.5833,78.7251,78.7460,-0.02092
9.6667,78.8544,78.8900,-0.03560
9.7500,78.9845,79.0160,-0.03152
9.8333,79.1154,79.1420,-0.02656
9.9167,79.2474,79.2860,-0.03857
10.0000,79.3801,79.4120,-0.03190
10.0833,79.5136,79.5560,-0.04239
10.1667,79.6481,79.6820,-0.03391
10.2500,79.7832,79.8260,-0.04280
10.3333,79.9191,79.9520,-0.03291
10.4167,80.0559,80.0960,-0.04010
10.5000,80.1933,80.2400,-0.04672
10.5833,80.3314,80.3660,-0.03461
10.6667,80.4704,80.5100,-0.03964
10.7500,80.6099,80.6540,-0.04414
10.8333,80.7500,80.7980,-0.04797
10.9167,80.8910,80.9420,-0.05097
11.0000,81.0325,81.0860,-0.05350
11.0833,81.1746,81.2300,-0.05542
11.1667,81.3174,81.3740,-0.05655
11.2500,81.4607,81.5180,-0.05727
11.3333,81.6046,81.6620,-0.05740
11.4167,81.7492,81.8060,-0.05681
11.5000,81.8942,81.9500,-0.05584
11.5833,82.0397,82.0940,-0.05434
11.6667,82.1858,82.2560,-0.07016
11.7500,82.3324,82.4000,-0.06764
11.8333,82.4794,82.5440,-0.06464
11.9167,82.6270,82.6880,-0.06099
12.0000,82.7749,82.8500,-0.07505
12.0833,82.9233,82.9940,-0.07067
12.1667,83.0723,83.1560,-0.08369
12.2500,83.2215,83.3000,-0.07846
12.3333,83.3712,83.4440,-0.07282
12.4167,83.5214,83.6060,-0.08462
12.5000,83.6718,83.7500,-0.07821
12.5833,83.8226,83.9120,-0.08944
12.6667,83.9739,84.0560,-0.08213
12.7500,84.1253,84.2180,-0.09266
12.8333,84.2771,84.3620,-0.08486
12.9167,84.4294,84.5240,-0.09456
13.0000,84.5819,84.6680,-0.08614
13.0833,84.7346,84.8300,-0.09543
13.1667,84.8878,84.9920,-0.10424
13.2500,85.0410,85.1360,-0.09497
13.3333,85.1946,85.2980,-0.10344
13.4167,85.3485,85.4600,-0.11148
13.5000,85.5025,85.6040,-0.10146
13.5833,85.6568,85.7660,-0.10921
13.6667,85.8114,85.9280,-0.11657
13.7500,85.9661,86.0720,-0.10590
13.8333,86.1210,86.2340,-0.11303
13.9167,86.2762,86.3960,-0.11979
14.0000,86.4314,86.5580,-0.12656
14.0833,86.5868,86.7020,-0.11517
14.1667,86.7426,86.8640,-0.12143
14.2500,86.8983,87.0260,-0.12773
14.3333,87.0541,87.1880,-0.13390
14.4167,87.2103,87.3320,-0.12175
14.5000,87.3663,87.4940,-0.12766
14.5833,87.5225,87.6560,-0.13347
14.6667,87.6790,87.8180,-0.13899
14.7500,87.8354,87.9800,-0.14460
14.8333,87.9919,88.1240,-0.13213
14.9167,88.1486,88.2860,-0.13740
15.0000,88.3052,88.4480,-0.14279
15.0833,88.4619,88.6100,-0.14812
15.1667,88.6188,88.7720,-0.15321
15.2500,88.7756,88.9340,-0.15845
15.3333,88.9323,89.0780,-0.14565
15.4167,89.0894,89.2400,-0.15064
15.5000,89.2462,89.4020,-0.15580
15.5833,89.4030,89.5640,-0.16095
15.6667,89.5601,89.7260,-0.16591
15.7500,89.7169,89.8880,-0.17106
15.8333,89.8738,90.0500,-0.17622
15.9167,90.0308,90.1940,-0.16321
16.0000,90.1876,90.3560,-0.16841
16.0833,90.3444,90.5180,-0.17365
16.1667,90.5013,90.6800,-0.17874
16.2500,90.6579,90.8420,-0.18406
16.3333,90.8146,91.0040,-0.18943
16.4167,90.9713,91.1480,-0.17668
16.5000,91.1278,91.3100,-0.18218
16.5833,91.2842,91.4720,-0.18775
16.6667,91.4408,91.6340,-0.19322
16.7500,91.5970,91.7960,-0.19895
16.8333,91.7532,91.9400,-0.18678
16.9167,91.9095,92.1020,-0.19252
17.0000,92.0655,92.2640,-0.19854
17.0833,92.2213,92.4260,-0.20468
17.1667,92.3773,92.5880,-0.21074
17.2500,92.5329,92.7320,-0.19911
17.3333,92.6884,92.8940,-0.20560
17.4167,92.8440,93.0560,-0.21204
17.5000,92.9992,93.2180,-0.21880
17.5833,93.1543,93.3620,-0.20770
17.6667,93.3094,93.5240,-0.21456
17.7500,93.4642,93.6860,-0.22176
17.8333,93.6189,93.8480,-0.22911
17.9167,93.7736,93.9920,-0.21845
18.0000,93.9279,94.1540,-0.22613
18.0833,94.0820,94.3160,-0.23399
18.1667,94.2362,94.4600,-0.22383
18.2500,94.3900,94.6220,-0.23205
18.3333,94.5436,94.7840,-0.24044
18.4167,94.6972,94.9280,-0.23085
18.5000,94.8504,95.0900,-0.23963
18.5833,95.0034,95.2520,-0.24861
18.6667,95.1564,95.3960,-0.23961
18.7500,95.3090,95.5580,-0.24899
18.8333,95.4614,95.7200,-0.25859
18.9167,95.6138,95.8640,-0.25023
19.0000,95.7657,96.0260,-0.26026
19.0833,95.9175,96.1700,-0.25252
19.1667,96.0692,96.3320,-0.26282
19.2500,96.2205,96.4760,-0.25553
19.3333,96.3715,96.6380,-0.26648
19.4167,96.5225,96.7820,-0.25948
19.5000,96.6731,96.9440,-0.27091
19.5833,96.8234,97.0880,-0.26458
19.6667,96.9737,97.2500,-0.27632
19.7500,97.1235,97.3940,-0.27049
19.8333,97.2731,97.5560,-0.28291
19.9167,97.4226,97.7000,-0.27742
20.0000,97.5716,97.8620,-0.29036
20.0833,97.7204,98.0060,-0.28557
20.1667,97.8691,98.1500,-0.28087
20.2500,98.0174,98.3120,-0.29462
20.3333,98.1654,98.4560,-0.29064
20.4167,98.3132,98.6000,-0.28676
20.5000,98.4607,98.7620,-0.30134
20.5833,98.6078,98.9060,-0.29819
20.6667,98.7548,99.0500,-0.29516
20.7500,98.9014,99.1940,-0.29259
20.8333,99.0477,99.3560,-0.30831
20.9167,99.1939,99.5000,-0.30615
21.0000,99.3395,99.6440,-0.30445
21.0833,99.4849,99.7880,-0.30306
21.1667,99.6302,99.9500,-0.31979
21.2500,99.7750,100.0940,-0.31900
21.3333,99.9195,100.2380,-0.31851
21.4167,100.0638,100.3820,-0.31815
21.5000,100.2077,100.5260,-0.31828
21.5833,100.3513,100.6700,-0.31871
21.6667,100.4947,100.8140,-0.31929
21.7500,100.6376,100.9580,-0.32036
21.8333,100.7803,101.1020,-0.32174
21.9167,100.9227,101.2460,-0.32327
22.0000,101.0647,101.3900,-0.32529
22.0833,101.2064,101.5340,-0.32764
22.1667,101.3479,101.6780,-0.33014
22.2500,101.4889,101.8220,-0.33313
22.3333,101.6295,101.9660,-0.33646
22.4167,101.7701,102.1100,-0.33994
22.5000,101.9101,102.2540,-0.34393
22.5833,102.0498,102.3980,-0.34824
22.6667,102.1893,102.5420,-0.35273
22.7500,102.3283,102.6860,-0.35772
22.8333,102.4670,102.8120,-0.34504
22.9167,102.6055,102.9560,-0.35054
23.0000,102.7435,103.1000,-0.35655
23.0833,102.8811,103.2440,-0.36289
23.1667,103.0186,103.3700,-0.35142
23.2500,103.1555,103.5140,-0.35845
23.3333,103.2922,103.6580,-0.36583
23.4167,103.4286,103.8020,-0.37339
23.5000,103.5645,103.9280,-0.36347
23.5833,103.7001,104.0720,-0.37189
23.6667,103.8355,104.1980,-0.36250
23.7500,103.9704,104.3420,-0.37162
23.8333,104.1049,104.4860,-0.38110
23.9167,104.2392,104.6120,-0.37276
24.0000,104.3731,104.7560,-0.38295
24.0833,104.5065,104.8820,-0.37548
24.1667,104.6398,105.0260,-0.38621
24.2500,104.7725,105.1520,-0.37946
24.3333,104.9049,105.2960,-0.39107
24.4167,105.0371,105.4220,-0.38487
24.5000,105.1688,105.5480,-0.37920
24.5833,105.3001,105.6920,-0.39188
24.6667,105.4312,105.8180,-0.38676
24.7500,105.5618,105.9620,-0.40017
24.8333,105.6921,106.0880,-0.39593
24.9167,105.8221,106.2140,-0.39190
25.0000,105.9516,106.3580,-0.40639
25.0833,106.0808,106.4840,-0.40325
25.1667,106.2097,106.6100,-0.40031
25.2500,106.3381,106.7360,-0.39789
25.3333,106.4662,106.8620,-0.39583
25.4167,106.5940,107.0060,-0.41199
25.5000,106.7213,107.1320,-0.41066
25.5833,106.8483,107.2580,-0.40970
25.6667,106.9750,107.3840,-0.40896
25.7500,107.1013,107.5100,-0.40873
25.8333,107.2271,107.6360,-0.40887
25.9167,107.3528,107.7620,-0.40923
26.0000,107.4779,107.8880,-0.41010
26.0833,107.6027,108.0140,-0.41134
26.1667,107.7272,108.1400,-0.41280
26.2500,107.8512,108.2660,-0.41477
26.3333,107.9749,108.3920,-0.41712
26.4167,108.0983,108.5180,-0.41968
26.5000,108.2212,108.6440,-0.42276
26.5833,108.3438,108.7700,-0.42621
26.6667,108.4661,108.8960,-0.42988
26.7500,108.5879,109.0220,-0.43406
26.8333,108.7094,109.1480,-0.43861
26.9167,108.8306,109.2560,-0.42538
27.0000,108.9513,109.3820,-0.43067
27.0833,109.0717,109.5080,-0.43633
27.1667,109.1918,109.6340,-0.44221
27.2500,109.3114,109.7420,-0.43060
27.3333,109.4306,109.8680,-0.43736
27.4167,109.5497,109.9940,-0.44434
27.5000,109.6682,110.1020,-0.43384
27.5833,109.7863,110.2280,-0.44170
27.6667,109.9042,110.3540,-0.44978
27.7500,110.0216,110.4620,-0.44038
27.8333,110.1387,110.5880,-0.44934
27.9167,110.2555,110.6960,-0.44053
28.0000,110.3718,110.8220,-0.45022
28.0833,110.4877,110.9300,-0.44228
28.1667,110.6034,111.0560,-0.45257
28.2500,110.7186,111.1640,-0.44536
28.3333,110.8335,111.2900,-0.45652
28.4167,110.9481,111.3980,-0.44990
28.5000,111.0622,111.5240,-0.46178
28.5833,111.1760,111.6320,-0.45603
28.6667,111.2895,111.7400,-0.45050
28.7500,111.4025,111.8660,-0.46348
28.8333,111.5152,111.9740,-0.45882
28.9167,111.6276,112.0820,-0.45438
29.0000,111.7396,112.2080,-0.46844
29.0833,111.8511,112.3160,-0.46486
29.1667,111.9625,112.4240,-0.46151
29.2500,112.0733,112.5320,-0.45865
29.3333,112.1838,112.6400,-0.45615
29.4167,112.2941,112.7660,-0.47188
29.5000,112.4039,112.8740,-0.47010
29.5833,112.5133,112.9820,-0.46868
29.6667,112.6225,113.0900,-0.46749
29.7500,112.7312,113.1980,-0.46678
29.8333,112.8396,113.3060,-0.46643
29.9167,112.9477,113.4140,-0.46630
30.0000,113.0553,113.5220,-0.46667
30.0833,113.1626,113.6300,-0.46738
30.1667,113.2697,113.7380,-0.46832
30.2500,113.3763,113.8460,-0.46974
30.3333,113.4825,113.9540,-0.47152
30.4167,113.5885,114.0620,-0.47352
30.5000,113.6940,114.1700,-0.47600
30.5833,113.7992,114.2780,-0.47883
30.6667,113.9041,114.3860,-0.48188
30.7500,114.0086,114.4940,-0.48541
30.8333,114.1127,114.5840,-0.47129
30.9167,114.2166,114.6920,-0.47539
31.0000,114.3200,114.8000,-0.47997
31.0833,114.4231,114.9080,-0.48489
31.1667,114.5260,115.0160,-0.49003
31.2500,114.6284,115.1060,-0.47764
31.3333,114.7304,115.2140,-0.48359
31.4167,114.8322,115.3220,-0.48977
31.5000,114.9336,115.4120,-0.47841
31.5833,115.0346,115.5200,-0.48540
31.6667,115.1354,115.6280,-0.49260
31.7500,115.2357,115.7180,-0.48227
31.8333,115.3357,115.8260,-0.49027
31.9167,115.4355,115.9160,-0.48050
32.0000,115.5348,116.0240,-0.48918
32.0833,115.6338,116.1320,-0.49820
32.1667,115.7326,116.2220,-0.48944
32.2500,115.8309,116.3300,-0.49913
32.3333,115.9288,116.4200,-0.49116
32.4167,116.0266,116.5100,-0.48340
32.5000,116.1239,116.6180,-0.49410
32.5833,116.2209,116.7080,-0.48712
32.6667,116.3176,116.8160,-0.49837
32.7500,116.4139,116.9060,-0.49206
32.8333,116.5099,116.9960,-0.48607
32.9167,116.6057,117.1040,-0.49831
33.0000,116.7010,117.1940,-0.49298
33.0833,116.7960,117.2840,-0.48799
33.1667,116.8908,117.3920,-0.50120
33.2500,116.9851,117.4820,-0.49686
33.3333,117.0792,117.5720,-0.49283
33.4167,117.1730,117.6620,-0.48902
33.5000,117.2664,117.7700,-0.50365
33.5833,117.3594,117.8600,-0.50060
33.6667,117.4522,117.9500,-0.49775
33.7500,117.5447,118.0400,-0.49534
33.8333,117.6368,118.1300,-0.49325
33.9167,117.7286,118.2200,-0.49136
34.0000,117.8201,118.3280,-0.50791
34.0833,117.9112,118.4180,-0.50677
34.1667,118.0022,118.5080,-0.50583
34.2500,118.0927,118.5980,-0.50532
34.3333,118.1829,118.6880,-0.50512
34.4167,118.2729,118.7780,-0.50513
34.5000,118.3624,118.8680,-0.50556
34.5833,118.4517,118.9580,-0.50630
34.6667,118.5408,119.0480,-0.50724
34.7500,118.6294,119.1380,-0.50859
34.8333,118.7177,119.2280,-0.51026
34.9167,118.8059,119.3180,-0.51212
35.0000,118.8936,119.3900,-0.49640
35.0833,118.9810,119.4800,-0.49898
35.1667,119.0682,119.5700,-0.50177
35.2500,119.1550,119.6600,-0.50496
35.3333,119.2416,119.7500,-0.50845
35.4167,119.3279,119.8400,-0.51214
35.5000,119.4138,119.9120,-0.49823
35.5833,119.4994,120.0020,-0.50263
35.6667,119.5848,120.0920,-0.50722
35.7500,119.6698,120.1820,-0.51220
35.8333,119.7545,120.2540,-0.49949
35.9167,119.8390,120.3440,-0.50497
36.0000,119.9232,120.4340,-0.51085
36.0833,120.0070,120.5060,-0.49902
36.1667,120.0906,120.5960,-0.50538
36.2500,120.1739,120.6860,-0.51213
36.3333,120.2568,120.7580,-0.50118
36.4167,120.3396,120.8480,-0.50841
36.5000,120.4220,120.9200,-0.49803
36.5833,120.5041,121.0100,-0.50595
36.6667,120.5860,121.1000,-0.51405
36.7500,120.6675,121.1720,-0.50453
36.8333,120.7487,121.2620,-0.51330
36.9167,120.8297,121.3340,-0.50425
37.0000,120.9104,121.4240,-0.51359
37.0833,120.9908,121.4960,-0.50521
37.1667,121.0710,121.5860,-0.51501
37.2500,121.1508,121.6580,-0.50719
37.3333,121.2304,121.7300,-0.49965
37.4167,121.3097,121.8200,-0.51029
37.5000,121.3887,121.8920,-0.50330
37.5833,121.4674,121.9820,-0.51459
37.6667,121.5459,122.0540,-0.50806
37.7500,121.6241,122.1260,-0.50190
37.8333,121.7020,122.2160,-0.51401
37.9167,121.7797,122.2880,-0.50830
38.0000,121.8570,122.3600,-0.50296
38.0833,121.9341,122.4500,-0.51589
38.1667,122.0110,122.5220,-0.51099
38.2500,122.0875,122.5940,-0.50646
38.3333,122.1638,122.6660,-0.50219
38.4167,122.2399,122.7380,-0.49810
38.5000,122.3156,122.8280,-0.51236
38.5833,122.3911,122.9000,-0.50889
38.6667,122.4664,122.9720,-0.50559
38.7500,122.5414,123.0440,-0.50265
38.8333,122.6160,123.1160,-0.49997
38.9167,122.6905,123.1880,-0.49745
39.0000,122.7647,123.2780,-0.51329
39.0833,122.8386,123.3500,-0.51139
39.1667,122.9123,123.4220,-0.50966
39.2500,122.9857,123.4940,-0.50827
39.3333,123.0589,123.5660,-0.50714
39.4167,123.1318,123.6380,-0.50617
39.5000,123.2044,123.7100,-0.50555
39.5833,123.2768,123.7820,-0.50518
39.6667,123.3490,123.8540,-0.50498
39.7500,123.4209,123.9260,-0.50512
39.8333,123.4925,123.9980,-0.50550
39.9167,123.5639,124.0700,-0.50605
40.0000,123.6351,124.1420,-0.50694
40.0833,123.7059,124.2140,-0.50807
40.1667,123.7766,124.2860,-0.50936
40.2500,123.8470,124.3580,-0.51098
40.3333,123.9171,124.4300,-0.51285
40.4167,123.9871,124.4840,-0.49688
40.5000,124.0568,124.5560,-0.49924
40.5833,124.1262,124.6280,-0.50184
40.6667,124.1954,124.7000,-0.50459
40.7500,124.2643,124.7720,-0.50768
40.8333,124.3330,124.8440,-0.51099
40.9167,124.4015,124.8980,-0.49647
41.0000,124.4697,124.9700,-0.50027
41.0833,124.5377,125.0420,-0.50430
41.1667,124.6055,125.1140,-0.50849
41.2500,124.6730,125.1680,-0.49499
41.3333,124.7403,125.2400,-0.49973
41.4167,124.8074,125.3120,-0.50461
41.5000,124.8742,125.3660,-0.49182
41.5833,124.9407,125.4380,-0.49725
41.6667,125.0072,125.5100,-0.50284
41.7500,125.0733,125.5820,-0.50873
41.8333,125.1391,125.6360,-0.49685
41.9167,125.2049,125.7080,-0.50312
42.0000,125.2703,125.7620,-0.49170
42.0833,125.3355,125.8340,-0.49850
42.1667,125.4005,125.9060,-0.50545
42.2500,125.4653,125.9600,-0.49470
42.3333,125.5298,126.0320,-0.50218
42.4167,125.5942,126.0860,-0.49180
42.5000,125.6583,126.1580,-0.49972
42.5833,125.7221,126.2120,-0.48986
42.6667,125.7859,126.2840,-0.49815
42.7500,125.8493,126.3380,-0.48872
42.8333,125.9125,126.4100,-0.49752
42.9167,125.9755,126.4640,-0.48846
43.0000,126.0383,126.5360,-0.49769
43.0833,126.1009,126.5900,-0.48914
43.1667,126.1633,126.6620,-0.49873
43.2500,126.2254,126.7160,-0.49060
43.3333,126.2873,126.7880,-0.50069
43.4167,126.3491,126.8420,-0.49292
43.5000,126.4106,126.8960,-0.48543
43.5833,126.4718,126.9680,-0.49616
43.6667,126.5330,127.0220,-0.48902
43.7500,126.5938,127.0940,-0.50016
43.8333,126.6545,127.1480,-0.49351
43.9167,126.7150,127.2020,-0.48699
44.0000,126.7752,127.2740,-0.49876
44.0833,126.8353,127.3280,-0.49272
44.1667,126.8952,127.3820,-0.48683
44.2500,126.9548,127.4360,-0.48121
44.3333,127.0142,127.5080,-0.49379
44.4167,127.0735,127.5620,-0.48850
44.5000,127.1325,127.6160,-0.48348
44.5833,127.1913,127.6880,-0.49667
44.6667,127.2500,127.7420,-0.49199
44.7500,127.3084,127.7960,-0.48757
44.8333,127.3666,127.8500,-0.48335
44.9167,127.4247,127.9040,-0.47927
45.0000,127.4826,127.9760,-0.49344
45.0833,127.5402,128.0300,-0.48982
45.1667,127.5977,128.0840,-0.48632
45.2500,127.6549,128.1380,-0.48308
45.3333,127.7120,128.1920,-0.48004
45.4167,127.7689,128.2460,-0.47712
45.5000,127.8255,128.3000,-0.47446
45.5833,127.8820,128.3720,-0.49000
45.6667,127.9383,128.4260,-0.48765
45.7500,127.9944,128.4800,-0.48557
45.8333,128.0503,128.5340,-0.48367
45.9167,128.1061,128.5880,-0.48190
46.0000,128.1616,128.6420,-0.48037
46.0833,128.2170,128.6960,-0.47904
46.1667,128.2722,128.7500,-0.47783
46.2500,128.3271,128.8040,-0.47686
46.3333,128.3819,128.8580,-0.47608
46.4167,128.4366,128.9120,-0.47542
46.5000,128.4910,128.9660,-0.47501
46.5833,128.5452,129.0200,-0.47478
46.6667,128.5993,129.0740,-0.47467
46.7500,128.6532,129.1280,-0.47480
46.8333,128.7069,129.1820,-0.47512
46.9167,128.7605,129.2360,-0.47555
47.0000,128.8138,129.2900,-0.47622
